HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
-0.04613565,0.8881851,1.722571,-0.1688012,0.6052836,1.745499,0.1356646,0.676376,1.666195,-0.148626,-0.2343872,1.641136,0.1467933,-0.1600167,1.599034,-0.2759025,0.4660566,1.74617,0.1843552,0.5230964,1.566766,-0.002896846,0.7046135,1.743578,-0.1587159,0.6850668,1.629663,-0.02930631,0.7215371,1.57648,-0.1151869,-0.7090796,1.520596,0.1163855,-0.6908309,1.538199
0.00192072,0.9191051,1.765901,-0.1345782,0.6442679,1.751525,0.1588711,0.6753303,1.678646,-0.146056,-0.2226938,1.633333,0.1528412,-0.1620374,1.59301,-0.2731413,0.4577988,1.753677,0.1865452,0.5247899,1.565537,0.01411491,0.7039391,1.750574,-0.144154,0.6750061,1.647167,-0.0142468,0.7403063,1.592104,-0.1147665,-0.709259,1.519733,0.1198068,-0.6885782,1.539214
0.004541025,0.9197255,1.768231,-0.1341265,0.6445521,1.751629,0.1587876,0.6753669,1.678549,-0.1444971,-0.2162433,1.628622,0.1549276,-0.1631068,1.590211,-0.2706781,0.4565141,1.754935,0.1887497,0.5260836,1.565119,0.01458876,0.7052531,1.751593,-0.1351368,0.6767558,1.65161,-0.01841648,0.7939861,1.603584,-0.1153319,-0.7092171,1.518908,0.1209504,-0.6877879,1.539047
0.01148913,0.9200634,1.774083,-0.1327583,0.6454521,1.751348,0.1590325,0.6754186,1.67881,-0.143783,-0.2069258,1.623646,0.1571601,-0.1648654,1.587902,-0.2413704,0.511026,1.726099,0.1922662,0.5275728,1.565526,0.01608417,0.7069193,1.753266,-0.1107233,0.7657034,1.640396,-0.009820584,0.7989943,1.613105,-0.1159398,-0.709291,1.518384,0.1221097,-0.6876044,1.536511
0.02060245,0.9237205,1.783234,-0.1199427,0.6505901,1.749909,0.1806373,0.6752875,1.695111,-0.1433395,-0.2029924,1.619743,0.1595281,-0.1665058,1.58602,-0.233754,0.5212792,1.727124,0.1947772,0.5286277,1.56649,0.03794416,0.707678,1.771964,-0.1084931,0.8158488,1.643,-0.001936955,0.7992735,1.619988,-0.1162652,-0.7081478,1.517091,0.1240986,-0.6874528,1.533916
0.03302116,0.9265651,1.797831,-0.1159094,0.6503699,1.747738,0.186081,0.6728774,1.700159,-0.1431505,-0.1999995,1.616541,0.1613477,-0.16834,1.584443,-0.2309774,0.5228985,1.727271,0.1996366,0.5306748,1.569967,0.04387237,0.6888052,1.772781,-0.1078387,0.8122892,1.647211,0.005437187,0.7983401,1.627573,-0.1163185,-0.7079364,1.516874,0.125224,-0.6874644,1.531091
0.0380689,0.9334266,1.804657,-0.1108105,0.6517259,1.751109,0.1895769,0.6622977,1.703517,-0.1432656,-0.1951248,1.612002,0.1632428,-0.1693003,1.583393,-0.2273676,0.5258942,1.72672,0.2029028,0.5319293,1.572729,0.04580912,0.6930157,1.775007,-0.1047042,0.8058857,1.649431,0.02333507,0.7612804,1.625631,-0.1165549,-0.7078132,1.516527,0.1255779,-0.6873921,1.529869
0.04208522,0.9320251,1.810057,-0.1087161,0.6520635,1.752506,0.193451,0.6576054,1.707937,-0.1440952,-0.1920436,1.609108,0.165837,-0.1716429,1.581508,-0.2257095,0.5268158,1.726167,0.205209,0.5340956,1.575651,0.046664,0.6938251,1.776658,-0.1027076,0.8044142,1.656267,0.01746164,0.8040727,1.64094,-0.1189816,-0.7064918,1.513506,0.1259458,-0.6872562,1.52871
0.0436308,0.9332171,1.816552,-0.1075268,0.649987,1.753396,0.193732,0.6534851,1.708313,-0.1452446,-0.1935887,1.604891,0.1677497,-0.1702205,1.578585,-0.2258436,0.5262467,1.725302,0.2074211,0.5322805,1.57404,0.04642215,0.6939241,1.778164,-0.1012472,0.8055744,1.662029,0.02980029,0.7760471,1.639157,-0.1186672,-0.7066346,1.513276,0.1269033,-0.6869132,1.52804
0.04303134,0.932496,1.83106,-0.1075877,0.6481659,1.754207,0.1940038,0.6427225,1.709709,-0.1479654,-0.1952199,1.597505,0.1690403,-0.1698009,1.574132,-0.2265778,0.5256101,1.722342,0.2098534,0.5287744,1.569251,0.04153655,0.689759,1.780461,-0.09963764,0.8004302,1.674551,0.04428783,0.7309694,1.633511,-0.1193151,-0.7064724,1.512375,0.1266779,-0.6897249,1.515132
0.04069939,0.9287034,1.83387,-0.1116904,0.6468928,1.754011,0.1943513,0.6422057,1.710683,-0.150837,-0.1954375,1.591217,0.1693406,-0.1674736,1.569685,-0.2291226,0.5222766,1.720679,0.210257,0.5284919,1.569354,0.04081974,0.6862205,1.779827,-0.1009847,0.7994737,1.679856,0.042346,0.7313,1.636083,-0.1195621,-0.707757,1.509915,0.1267252,-0.6896173,1.515283
0.03704385,0.9245256,1.835767,-0.1144007,0.6462794,1.753436,0.1944281,0.6421613,1.711283,-0.1538316,-0.1988263,1.58521,0.1691733,-0.1657193,1.566183,-0.2306221,0.5199656,1.718976,0.2101806,0.5283206,1.569386,0.03948137,0.6840072,1.779472,-0.1022376,0.7925317,1.679618,0.0397418,0.7311828,1.636784,-0.1191377,-0.7084128,1.507699,0.1273133,-0.6903436,1.507097
0.03583546,0.9245633,1.841666,-0.1171744,0.6452429,1.752624,0.1932837,0.6416849,1.711133,-0.1567721,-0.2032814,1.580983,0.168531,-0.1654063,1.563678,-0.2322154,0.5171267,1.718051,0.2098101,0.5273789,1.56906,0.03799669,0.6820652,1.778996,-0.1086727,0.7948341,1.680206,0.0248201,0.7675834,1.647124,-0.1199048,-0.7097365,1.503294,0.1273465,-0.6901122,1.503732
0.03189872,0.9239388,1.842527,-0.1217227,0.6443358,1.750932,0.1923072,0.6419198,1.711293,-0.1592666,-0.2056029,1.579241,0.1680637,-0.1652134,1.562725,-0.2344357,0.5133898,1.716672,0.2087541,0.5263348,1.569659,0.03666754,0.6814998,1.778717,-0.116834,0.7894178,1.679878,0.03533078,0.7165701,1.636355,-0.1201399,-0.7101904,1.501182,0.1279629,-0.6897789,1.501777
0.01945793,0.9231963,1.842243,-0.1268911,0.6444957,1.749385,0.1892335,0.6425549,1.710164,-0.1618536,-0.2073025,1.579541,0.1658955,-0.1649719,1.563416,-0.2371178,0.5107538,1.714692,0.2056994,0.5226563,1.571621,0.03184542,0.6813447,1.777685,-0.13975,0.7953869,1.673328,0.02675016,0.7129338,1.634708,-0.1200548,-0.71042,1.501097,0.1278136,-0.6898438,1.501308
0.004406064,0.9339658,1.842682,-0.1393501,0.6454769,1.743925,0.1635442,0.6466841,1.703191,-0.1651184,-0.2118531,1.58117,0.1631521,-0.1645422,1.564527,-0.2415909,0.5042356,1.713297,0.206783,0.5213209,1.576034,-0.0004074053,0.6890334,1.778144,-0.1474116,0.7862428,1.667453,0.02132277,0.7115309,1.633145,-0.120123,-0.7105365,1.501205,0.127781,-0.6898502,1.501093
