TimeStamp, FrameNoHeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
1,1,0.08721956,0.7522445,1.81334,-0.1516681,0.5298975,1.811487,0.1947968,0.4906272,1.875264,0.01687497,0.5590579,1.840439,-0.1771156,-0.1518934,1.51761,0.1904535,-0.1510154,1.548538,-0.2732491,0.3243262,1.839022,0.1907435,0.3209307,1.921425,-0.002821275,0.3477961,1.849646,-0.3475583,0.05546262,1.73015,0.1363342,0.07032517,1.729381,-0.1538394,-0.4763675,1.578371,0.1709344,-0.5521871,1.511983
1,2,0.08061835,0.7530914,1.819268,-0.1560864,0.5298756,1.814548,0.1895997,0.4948329,1.880409,0.01163816,0.5608851,1.844179,-0.1774777,-0.1557445,1.532147,0.1794415,-0.1553446,1.56489,-0.2837177,0.310532,1.84289,0.2366343,0.2505467,1.913943,-0.006329792,0.3530512,1.851018,-0.3541311,0.05836095,1.732808,0.3704258,-0.008893154,1.750665,-0.1530579,-0.4842752,1.573897,0.1524316,-0.5002109,1.537386
1,3,0.06531929,0.7552519,1.833825,-0.1681924,0.5298839,1.825585,0.1795088,0.5002769,1.890425,0.0002491012,0.5634658,1.854292,-0.1828774,-0.1575022,1.542925,0.1710594,-0.1575909,1.574045,-0.2901482,0.3098216,1.848544,0.2357512,0.2506852,1.915453,-0.01233195,0.3584566,1.855628,-0.3566348,0.1055714,1.765096,0.3688783,-0.007332292,1.757595,-0.1498174,-0.5023327,1.58666,0.1499296,-0.5025299,1.538979
1,4,0.03660484,0.7583808,1.86281,-0.1883335,0.5301582,1.845734,0.1598114,0.5066214,1.908761,-0.02077902,0.5661017,1.874592,-0.1795923,-0.1574657,1.546474,0.169003,-0.1434351,1.570472,-0.308654,0.2981414,1.860349,0.2255862,0.2557524,1.92502,-0.02605461,0.3637732,1.867022,-0.3695845,0.09898459,1.778536,0.3717744,-0.007788091,1.76455,-0.1527614,-0.453824,1.590773,0.2092951,-0.5881739,1.379375
1,5,0.01693852,0.7613162,1.889388,-0.2040969,0.5248267,1.866551,0.1427939,0.5065575,1.928477,-0.03925189,0.5710677,1.898778,-0.1572833,-0.1361314,1.571715,0.1211433,-0.1738078,1.657031,-0.3182943,0.2903573,1.872889,0.2174488,0.2603114,1.940021,-0.04707539,0.3789391,1.890343,-0.3780355,0.09600665,1.798704,0.3740831,-0.001930189,1.780549,-0.1529702,-0.4535836,1.593289,0.1473377,-0.5566444,1.565988
1,6,0.0141668,0.7618552,1.8931,-0.2070986,0.5237154,1.870562,0.140213,0.5065441,1.932255,-0.04080584,0.5706968,1.89991,-0.1718388,-0.1781213,1.566028,0.1327039,-0.2076122,1.656392,-0.3200071,0.2887921,1.875765,0.2159431,0.2606719,1.943302,-0.0479264,0.3767424,1.885229,-0.3781008,0.09442384,1.800232,0.3738053,0.001610566,1.785149,-0.1445024,-0.5106485,1.581219,0.1446485,-0.5545067,1.572258
1,7,0.01220974,0.7630875,1.899974,-0.2078672,0.5215899,1.87379,0.138721,0.5061393,1.938097,-0.04224581,0.5693357,1.902729,-0.2018334,-0.2720973,1.630742,0.1087017,-0.3150156,1.687101,-0.3181848,0.2996,1.887714,0.2048948,0.2717389,1.958561,-0.04324406,0.3556507,1.876099,-0.3754251,0.1006116,1.80259,0.3635735,0.02092846,1.800122,-0.1541966,-0.4527231,1.599696,0.1914427,-0.7912939,1.480356
1,8,0.01058476,0.7637398,1.906354,-0.2088142,0.5186214,1.877659,0.1378208,0.5059132,1.942903,-0.04358266,0.5676684,1.906232,-0.2022493,-0.2745014,1.63073,0.1086361,-0.3160767,1.687706,-0.3175424,0.3006633,1.891128,0.204159,0.2729701,1.961549,-0.04309068,0.3541835,1.876744,-0.374025,0.1008324,1.800797,0.3697588,0.01634143,1.800337,-0.1543986,-0.4514747,1.600339,0.1732228,-0.7621617,1.524844
1,9,0.0101089,0.7635574,1.913364,-0.2075639,0.5145138,1.882977,0.1386432,0.503605,1.948939,-0.04375257,0.5647311,1.911285,-0.2015722,-0.2768652,1.630713,0.1074277,-0.325194,1.690499,-0.3148111,0.3004318,1.89637,0.2061975,0.2715955,1.964939,-0.04191151,0.3511279,1.878008,-0.3690404,0.0979376,1.793808,0.37106,0.01922588,1.803915,-0.1549771,-0.4528359,1.599923,0.1844185,-0.7958843,1.489699
1,10,0.0111133,0.7623964,1.91905,-0.2063352,0.5116242,1.887231,0.1394821,0.5018389,1.95118,-0.04266911,0.5635239,1.916174,-0.1928126,-0.2470803,1.637276,0.1070803,-0.3282871,1.691506,-0.3118922,0.2989348,1.899801,0.2094538,0.2677538,1.968152,-0.04008057,0.3515112,1.880443,-0.3653711,0.09374859,1.787594,0.3715872,0.0199875,1.805204,-0.1544377,-0.4511479,1.599981,0.1775604,-0.7973549,1.490266
