HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ
0.0211215,0.9142592,1.707629,-0.2130499,0.6646751,1.612406,0.05677883,0.6344088,1.721029,-0.4318604,-0.05640406,1.326311,0.0598642,-0.04395114,1.250959,-0.2649957,0.3030249,1.524886,0.09913041,0.3758527,1.791262,-0.0735102,0.7140669,1.674117,-0.2355501,-0.1355377,1.460846,0.303268,0.4494535,1.585266
0.004596421,0.8951572,1.70946,-0.2128673,0.6641634,1.611191,0.0568332,0.6337484,1.720024,-0.3256976,0.001763012,1.329101,0.002848943,0.009694745,1.323305,-0.2694124,0.3588893,1.554968,0.09472588,0.3991607,1.781656,-0.0731537,0.7136213,1.673858,-0.2400013,0.0461072,1.413838,0.221824,0.4237313,1.670527
-0.0007947742,0.8886852,1.70982,-0.2126347,0.6642585,1.61089,0.05685012,0.6334961,1.719504,-0.3147049,0.0017667,1.340747,0.002789219,0.009157753,1.337107,-0.3785938,0.5106266,1.496371,0.09458242,0.3985454,1.781775,-0.07260291,0.7138548,1.674162,-0.2486029,0.5622869,1.230676,0.2237061,0.4231113,1.67024
-0.001123695,0.887366,1.709398,-0.2125547,0.6642051,1.610588,0.05685716,0.6333477,1.7192,-0.310205,0.006813737,1.343343,0.002495466,0.009923159,1.343355,-0.3784646,0.5105639,1.496053,0.09442283,0.3980424,1.781968,-0.07211325,0.7141657,1.674348,-0.3262753,0.5464144,1.34019,0.2266859,0.4228544,1.666613
-0.0004020133,0.8870298,1.708951,-0.2124959,0.6641726,1.610398,0.05688705,0.6332489,1.719021,-0.3069348,0.007599741,1.346881,0.002380602,0.01005567,1.347916,-0.3783889,0.5104946,1.495869,0.09457067,0.39741,1.782536,-0.0714364,0.7144276,1.674949,-0.3242528,0.5469843,1.33874,0.2291784,0.4223034,1.664725
0.0002917457,0.8868212,1.708858,-0.2124242,0.6642088,1.610308,0.05692375,0.6331732,1.718901,-0.3049722,0.00772277,1.349063,0.002400422,0.01063101,1.351194,-0.3928587,0.5109145,1.527184,0.0947077,0.3969764,1.782949,-0.07122915,0.7146292,1.675165,-0.3226273,0.5468779,1.337937,0.2332105,0.4234637,1.66247
0.001070562,0.8865631,1.708765,-0.2123706,0.6642224,1.610215,0.05693981,0.6331044,1.718775,-0.3042547,0.008941789,1.350811,0.002220499,0.0106265,1.353134,-0.3928114,0.511351,1.52729,0.09481259,0.3968171,1.782993,-0.07103064,0.7147082,1.675263,-0.3218771,0.547042,1.337209,0.2351146,0.4231073,1.66004
0.002174842,0.8859942,1.708013,-0.2122816,0.6642123,1.609844,0.05698124,0.6328955,1.718397,-0.2972384,-0.04087887,1.392539,0.01452537,-0.03940077,1.383613,-0.3918791,0.5118713,1.526945,0.09480056,0.3961328,1.783154,-0.07037783,0.7153561,1.674287,-0.3204973,0.5467241,1.335844,0.2359347,0.4230065,1.661064
0.002996316,0.885524,1.707354,-0.2121535,0.6643742,1.609738,0.05708729,0.6327117,1.718199,-0.3119386,-0.05771935,1.417911,0.021223,-0.07680636,1.399346,-0.3912657,0.5122485,1.52486,0.0948403,0.3959104,1.783363,-0.06944515,0.7163198,1.672913,-0.3202291,0.5468197,1.335328,0.2379989,0.4239662,1.658481
0.00701327,0.8876623,1.706946,-0.2052123,0.6663769,1.607758,0.06111233,0.6357249,1.722824,-0.2411784,-0.0952371,1.472981,-0.002450638,-0.2310343,1.503048,-0.3837401,0.5148793,1.520513,0.09375825,0.3960055,1.783528,-0.06723307,0.7192575,1.671184,-0.3191511,0.5472087,1.335342,0.2369486,0.4231889,1.659619
