TimeStamp, FrameNoHeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
1,1,-0.03882019,0.8919917,2.276134,-0.1966881,0.6149789,2.259597,0.1401949,0.6148549,2.283175,-0.0333863,0.6624237,2.272438,-0.1148354,-0.266343,2.092695,0.1285367,-0.2791225,2.01349,-0.2558537,0.3713604,2.237602,0.2124027,0.4054396,2.304029,-0.028679,0.4290397,2.232685,-0.2117101,0.4210152,1.96276,0.2348048,0.4925357,2.023732,-0.1399451,-0.6725649,2.020262,0.2145972,-0.6412502,1.887739
1,2,-0.03969567,0.8918819,2.275702,-0.1983597,0.61401,2.260831,0.1395596,0.6147213,2.283656,-0.03419125,0.6620945,2.271924,-0.1148803,-0.2663744,2.092681,0.1282546,-0.2790632,2.013551,-0.2643704,0.3391309,2.218307,0.2077211,0.4056338,2.312672,-0.02936994,0.4288089,2.232357,-0.2285734,0.3639604,1.964776,0.2262513,0.4465869,2.026756,-0.1403356,-0.6735233,2.019876,0.2154354,-0.6417822,1.886761
1,3,-0.04248481,0.892271,2.274826,-0.1994671,0.6140743,2.261564,0.1368375,0.6151069,2.284955,-0.03594947,0.6621674,2.271017,-0.1155861,-0.2660858,2.092911,0.127159,-0.278274,2.014019,-0.2616095,0.4316669,2.296721,0.1916396,0.408726,2.351186,-0.03101136,0.4288734,2.231941,-0.2427608,0.3246819,1.991709,0.2198411,0.4054641,2.037756,-0.1407182,-0.6742701,2.019635,0.2158987,-0.6421434,1.886301
1,4,-0.04797983,0.8918415,2.271379,-0.2098869,0.6134832,2.267156,0.1338143,0.6178363,2.288899,-0.03962801,0.6615859,2.268982,-0.1163159,-0.2658632,2.093091,0.1254886,-0.2763999,2.014307,-0.2801245,0.425298,2.321135,0.1913988,0.4152456,2.348888,-0.03374931,0.4285159,2.231121,-0.226137,0.3002367,2.050672,0.2130232,0.3739779,2.057748,-0.1409799,-0.6744663,2.019681,0.2158373,-0.6418218,1.886502
1,5,-0.05325359,0.8912129,2.267327,-0.2174754,0.6140282,2.271206,0.132085,0.6202042,2.291637,-0.0436318,0.661259,2.266335,-0.1169323,-0.2658268,2.093224,0.1252997,-0.276228,2.014042,-0.2881197,0.418888,2.323917,0.2087871,0.4741949,2.369181,-0.03655113,0.4282149,2.22986,-0.2174759,0.299613,2.078304,0.2034556,0.3527997,2.083852,-0.1413469,-0.6738394,2.018072,0.2167805,-0.641143,1.885904
1,6,-0.06046489,0.8913399,2.258858,-0.2240939,0.6178269,2.275126,0.1305468,0.6261159,2.295734,-0.04712479,0.6621924,2.261412,-0.1178709,-0.262437,2.093517,0.1285309,-0.269703,2.011067,-0.3249521,0.4303903,2.347237,0.3066322,0.4682494,2.334878,-0.03871108,0.4294749,2.228118,-0.2154433,0.3071276,2.125642,0.2059232,0.3522157,2.117253,-0.1413727,-0.6743106,2.018161,0.2186628,-0.6418755,1.88526
1,7,-0.06441199,0.8902854,2.251699,-0.2265616,0.6199124,2.27654,0.1305303,0.6316962,2.297235,-0.04839161,0.6625588,2.257843,-0.1189745,-0.254718,2.093072,0.135592,-0.255973,2.005096,-0.3425357,0.444534,2.33713,0.2815911,0.5135627,2.371816,-0.03964446,0.4305962,2.2264,-0.2199041,0.322111,2.137261,0.2124631,0.3864567,2.121937,-0.141451,-0.6745963,2.01834,0.2221282,-0.6422648,1.883551
1,8,-0.06536815,0.8900824,2.248233,-0.2301762,0.622349,2.278972,0.1327989,0.6401566,2.297571,-0.04861864,0.6634004,2.254531,-0.1185529,-0.247968,2.092768,0.1433662,-0.2471871,2.001368,-0.3891274,0.4615924,2.318882,0.301564,0.5511863,2.358758,-0.03965131,0.432142,2.224878,-0.1697332,0.3614633,2.136731,0.2305925,0.4346951,2.127908,-0.1414157,-0.674826,2.018458,0.2263988,-0.6422611,1.880344
1,9,-0.06508756,0.8901604,2.244431,-0.2346622,0.6249447,2.281324,0.1354422,0.6454384,2.296276,-0.04781956,0.6642867,2.252426,-0.1173663,-0.2428313,2.093144,0.1525113,-0.2345969,1.998601,-0.3973596,0.480801,2.306533,0.3153334,0.5999026,2.334112,-0.03835859,0.434824,2.223516,-0.1827894,0.4311979,2.149427,0.2208263,0.4797059,2.110247,-0.1414651,-0.6753219,2.018473,0.2370399,-0.6387023,1.873868
1,10,-0.06360297,0.8909339,2.241023,-0.2354868,0.629352,2.278316,0.1423258,0.6534556,2.292322,-0.04485599,0.6666079,2.250274,-0.1159432,-0.2398325,2.093788,0.1579306,-0.2322569,1.998065,-0.4062239,0.5117764,2.27547,0.3446519,0.6257826,2.296687,-0.03534256,0.4384575,2.222687,-0.1783981,0.4955412,2.142639,0.222548,0.5360128,2.091295,-0.1415569,-0.6755182,2.0184,0.2556077,-0.626287,1.865908
1,11,-0.06008282,0.8918223,2.238522,-0.2330187,0.6357281,2.274276,0.14711,0.6609781,2.28442,-0.04067304,0.6688734,2.248673,-0.1138129,-0.2376067,2.095261,0.1646191,-0.2286954,1.999144,-0.4029879,0.532519,2.239907,0.373221,0.6341709,2.258072,-0.03102099,0.4417416,2.222397,-0.1740422,0.536911,2.137729,0.227134,0.5875932,2.077638,-0.1416581,-0.6757466,2.018761,0.2722657,-0.6208703,1.859747
1,12,-0.04169815,0.8985741,2.237368,-0.2096262,0.6302653,2.254238,0.1576755,0.6586435,2.26833,-0.02494954,0.6765363,2.247785,-0.1068789,-0.2360752,2.099405,0.1761686,-0.2274019,2.00288,-0.3755131,0.5434012,2.171618,0.3895038,0.6477469,2.23179,-0.01697949,0.4456897,2.222958,-0.1384316,0.586302,2.059311,0.1939852,0.638158,2.00616,-0.1402414,-0.6741722,2.020752,0.2928311,-0.6123061,1.857984
1,13,-0.03185439,0.9007825,2.237906,-0.1926083,0.6280777,2.241901,0.1687968,0.6517866,2.255292,-0.0153887,0.679045,2.246605,-0.09921308,-0.2351519,2.104565,0.1839536,-0.2261814,2.006073,-0.3433643,0.5346744,2.124784,0.3929175,0.6430157,2.190963,-0.007724454,0.446232,2.222198,-0.1025876,0.5784604,2.008479,0.1860908,0.6338234,1.98392,-0.1387534,-0.67243,2.022024,0.2942685,-0.6125424,1.858846
1,14,-0.02090031,0.9022183,2.239209,-0.1761821,0.6384321,2.240119,0.1802585,0.628122,2.231975,-0.002412723,0.6809263,2.244602,-0.09142508,-0.236819,2.108279,0.1922678,-0.2252041,2.007997,-0.3227462,0.5165344,2.08246,0.3913199,0.6261151,2.153618,0.002927346,0.4453325,2.21983,-0.05970168,0.5570502,1.953572,0.1825714,0.6102411,1.955527,-0.136913,-0.6711532,2.023256,0.2957865,-0.6142446,1.862304
1,15,-0.003424349,0.9049624,2.241805,-0.1476173,0.6764158,2.24265,0.2142686,0.660528,2.236663,0.009333423,0.6833501,2.243567,-0.08386163,-0.2360373,2.109571,0.2008883,-0.2268026,2.009142,-0.2266978,0.5090047,2.050257,0.3861206,0.5918529,2.097077,0.01476712,0.4481062,2.218074,-0.01479737,0.5227033,1.893175,0.171413,0.5713255,1.913971,-0.1348945,-0.6695685,2.024549,0.29596,-0.6161849,1.866102
1,16,0.05612475,0.909438,2.230784,-0.07583955,0.6262556,2.188387,0.2250547,0.6492397,2.180163,0.07223117,0.6883575,2.21539,-0.05422217,-0.2541059,2.086616,0.2292756,-0.2307878,1.986419,-0.09528161,0.4179454,2.02405,0.3645032,0.4965299,2.04082,0.07620914,0.4539585,2.190429,0.05522737,0.3504689,1.745561,0.1867516,0.3894729,1.7873,-0.1329256,-0.6673003,2.026068,0.2963939,-0.6195186,1.867574
1,17,0.06319809,0.9115532,2.225952,-0.0682095,0.6215181,2.185066,0.2466591,0.6405444,2.165864,0.08027742,0.686463,2.211758,-0.04996366,-0.2455386,2.07987,0.2408904,-0.211514,1.976148,-0.08346302,0.4208149,2.033844,0.3551573,0.495595,2.055992,0.08313556,0.450628,2.185618,0.04167673,0.289839,1.755883,0.2099274,0.323127,1.765892,-0.1311123,-0.6651208,2.027369,0.2974354,-0.6205461,1.867635
1,18,0.0855398,0.9136806,2.207514,-0.06032132,0.6212496,2.18492,0.2706235,0.6364965,2.155036,0.107093,0.6862159,2.197493,-0.04629681,-0.2397219,2.072178,0.2465456,-0.2119955,1.971489,-0.07157604,0.4035732,2.024553,0.3626006,0.4323085,2.005124,0.1021874,0.4484026,2.172577,0.03204221,0.2403671,1.791916,0.2316035,0.2749574,1.781653,-0.1298078,-0.6642533,2.027768,0.2990344,-0.6252763,1.866993
