HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
-0.1270633,0.80279,1.947187,-0.2862551,0.5422594,1.940641,0.04193379,0.5639492,1.982574,-0.1190055,0.5847825,1.955984,-0.2832172,-0.1766733,1.630479,0.1183451,-0.1573586,1.655034,-0.3837365,0.3055341,1.920323,0.07195444,0.3449343,2.062156,-0.1123673,0.3673309,1.9417,-0.2162249,0.5000565,1.764916,0.08170205,0.3496552,1.827884,-0.2596931,-0.6212211,1.45878,0.06708413,-0.4463971,1.602385
-0.127524,0.8039624,1.947316,-0.2930456,0.5471867,1.940795,0.03518703,0.5624266,1.98296,-0.1230725,0.5863186,1.956168,-0.2834562,-0.1713486,1.622718,0.121363,-0.1589447,1.659051,-0.3971015,0.3104263,1.916929,0.08031052,0.3474438,2.042197,-0.1161175,0.3692011,1.940847,-0.2104341,0.4854479,1.759971,0.05702828,0.4144638,1.861943,-0.2589562,-0.6176336,1.454103,0.0664061,-0.4470883,1.605773
-0.1275051,0.8048651,1.947392,-0.296989,0.5523058,1.939447,0.02807542,0.5594701,1.983223,-0.1287265,0.5882661,1.955532,-0.2801862,-0.1655415,1.613826,0.1244105,-0.1613981,1.669849,-0.3866888,0.3357098,1.896946,0.07708456,0.36941,2.095309,-0.1227478,0.372239,1.938818,-0.207676,0.4646173,1.758593,0.06308255,0.4521802,1.87239,-0.2537289,-0.6126598,1.450019,0.0655717,-0.4485141,1.609367
-0.1273248,0.8058273,1.947541,-0.2958086,0.5509307,1.938826,0.02314031,0.5556073,1.985512,-0.1330839,0.5898654,1.955282,-0.2801713,-0.1595086,1.605905,0.1225339,-0.169023,1.679292,-0.3871347,0.3426664,1.894086,0.07611825,0.3712603,2.098562,-0.1255857,0.3735545,1.937643,-0.2061982,0.441395,1.757942,0.08482399,0.5411164,1.783399,-0.2522656,-0.6073084,1.445541,0.06463028,-0.4497963,1.61181
-0.1270028,0.8061435,1.947749,-0.2972233,0.5513796,1.936664,0.01815491,0.5528721,1.99458,-0.1395029,0.5922106,1.954376,-0.279045,-0.1531328,1.596953,0.1162478,-0.1785061,1.689696,-0.3897043,0.3514972,1.889364,0.07323513,0.3727955,2.102519,-0.1293106,0.3756337,1.936136,-0.2040917,0.4152215,1.752764,0.07142944,0.513456,1.913595,-0.2474852,-0.6019667,1.441925,0.06298951,-0.4542874,1.616372
-0.1260759,0.8064584,1.948395,-0.3071732,0.5571343,1.925295,0.01127888,0.5520192,1.997956,-0.1438902,0.5941904,1.951946,-0.2839658,-0.1830086,1.608143,0.1160736,-0.2011515,1.731404,-0.4098231,0.3736807,1.895416,0.06842184,0.3740111,2.109097,-0.1357416,0.3813814,1.922362,-0.2023908,0.3938317,1.751933,0.08067725,0.5387367,1.936464,-0.2477535,-0.6421042,1.459237,0.06277871,-0.4547234,1.617132
-0.1224235,0.8073058,1.949828,-0.303349,0.5515801,1.909175,0.003428353,0.5553452,2.024524,-0.1455149,0.5953115,1.951236,-0.2402503,-0.2109155,1.648488,0.04970586,-0.233711,1.776699,-0.4107239,0.3789899,1.89265,0.05669,0.3683668,2.120505,-0.1358673,0.381776,1.921168,-0.2010222,0.3657915,1.752509,0.08660551,0.5505447,1.966816,-0.1939077,-0.6732152,1.504385,0.07316963,-0.5416182,1.627666
-0.118189,0.8065268,1.951593,-0.3013724,0.5505466,1.910085,0.0009522235,0.5528638,2.025553,-0.1473302,0.5958931,1.950454,-0.2399975,-0.2074803,1.645679,0.04881027,-0.2338322,1.776844,-0.4142849,0.3833748,1.888405,0.04922339,0.3623267,2.125139,-0.1363691,0.3815579,1.919754,-0.2047684,0.343335,1.747815,0.08545269,0.5655583,1.989607,-0.1932198,-0.6735423,1.503542,0.07354631,-0.5436601,1.628307
-0.1132155,0.8044211,1.95444,-0.3001354,0.5496487,1.910012,-0.01036956,0.5370643,2.034735,-0.1492223,0.5963699,1.949757,-0.2395364,-0.2062321,1.641221,0.04838262,-0.2365969,1.77726,-0.4173377,0.3857274,1.883459,0.04386398,0.3127365,2.162719,-0.1374359,0.3806717,1.917918,-0.2310212,0.3154222,1.745315,0.08101515,0.5761932,2.013917,-0.1878949,-0.6759591,1.504217,0.07424757,-0.5476394,1.628802
-0.107421,0.8004778,1.957191,-0.2986268,0.5475366,1.903818,-0.0127753,0.5382814,2.043612,-0.1510257,0.5961272,1.949254,-0.2371595,-0.2041012,1.633839,0.04632894,-0.2385219,1.778546,-0.4223276,0.3888063,1.876132,0.03472319,0.3060053,2.161489,-0.1388978,0.3790506,1.91638,-0.2326292,0.3111808,1.741379,0.07705458,0.5781761,2.03488,-0.1832229,-0.6776648,1.503479,0.07459516,-0.5506585,1.629631
