HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
-0.0068471,0.8214593,2.026164,-0.1300573,0.5382546,2.000805,0.1380998,0.5308643,1.983229,-0.005696923,0.596952,2.028732,-0.1833604,-0.1009278,1.71617,0.2394968,-0.08390843,1.717322,-0.2552645,0.3324895,2.0004,0.2805653,0.3863359,1.999214,0.003951979,0.387179,2.01447,-0.1881398,0.472498,1.766758,0.1628634,0.5341728,1.786951,-0.1649352,-0.3971069,1.647578,0.2324978,-0.4853945,1.4876
-0.007452911,0.8204439,2.027876,-0.1310956,0.5395384,2.003376,0.1375371,0.5310447,1.983946,-0.005814791,0.5967821,2.02894,-0.1847788,-0.1049631,1.716941,0.2412538,-0.08552001,1.715914,-0.2520498,0.3283029,1.982562,0.2777993,0.3809832,1.994748,0.003625041,0.3867456,2.014094,-0.1886943,0.4550095,1.750825,0.1655671,0.5063249,1.776837,-0.1650401,-0.3976592,1.646211,0.2697142,-0.5228579,1.536042
-0.0114032,0.8168716,2.032157,-0.1344905,0.5421198,2.009663,0.1359131,0.5318075,1.985867,-0.006475934,0.5960807,2.029636,-0.1875822,-0.105386,1.717344,0.2368233,-0.08861446,1.714621,-0.2444506,0.3174199,1.953015,0.2632492,0.3617059,1.991946,0.002538982,0.3857756,2.013514,-0.1920687,0.4296959,1.732916,0.1661581,0.4810593,1.756009,-0.1689383,-0.3968136,1.638647,0.2229593,-0.6094501,1.653823
-0.01640686,0.8124345,2.03704,-0.1388817,0.5445455,2.016016,0.1270896,0.5469189,2.007199,-0.008258153,0.5949175,2.030618,-0.1917224,-0.1100931,1.708359,0.2314257,-0.08410976,1.709341,-0.2391927,0.3064344,1.936702,0.2420673,0.3187077,1.994297,-0.002458146,0.3838586,2.012535,-0.1990415,0.4026026,1.720581,0.1695727,0.456095,1.739173,-0.16472,-0.4025501,1.63655,0.2265818,-0.6103955,1.636712
-0.02497061,0.8097441,2.04038,-0.1730264,0.5569875,2.051796,0.1258192,0.5503573,2.013995,-0.02179998,0.589877,2.037512,-0.194173,-0.1195681,1.696819,0.2350466,-0.07538771,1.71932,-0.2377337,0.3033094,1.946504,0.2121301,0.3270934,1.96966,-0.02004467,0.380159,2.013517,-0.2184487,0.3640271,1.732584,0.1720845,0.432437,1.74522,-0.1741911,-0.4155152,1.644961,0.2303914,-0.6046537,1.646914
-0.03125319,0.8103879,2.040579,-0.1734497,0.5563888,2.049809,0.1231351,0.5548651,2.019139,-0.02739651,0.5893852,2.037524,-0.2043093,-0.1219231,1.695843,0.2366326,-0.07643345,1.719134,-0.2446297,0.2970326,2.000748,0.2024692,0.3020222,2.019026,-0.02525561,0.3795578,2.012348,-0.2303123,0.3694886,1.749622,0.1704578,0.4274429,1.767499,-0.1699338,-0.4191536,1.646349,0.2245309,-0.606791,1.661391
-0.03887583,0.8120297,2.038441,-0.1770132,0.5561518,2.046551,0.1193435,0.5570571,2.020208,-0.03312569,0.5909994,2.037493,-0.213328,-0.1258059,1.698099,0.2348686,-0.0776384,1.719498,-0.244625,0.2970574,2.000812,0.1901642,0.3345692,2.011946,-0.03090711,0.3802344,2.012307,-0.2419478,0.3728672,1.763602,0.1692954,0.4335253,1.779271,-0.1702554,-0.4221058,1.649443,0.223602,-0.6098688,1.66196
-0.04655885,0.8149642,2.03594,-0.1810413,0.5579309,2.043583,0.1153002,0.5626699,2.023044,-0.03956451,0.5925183,2.03579,-0.2248452,-0.1293128,1.703246,0.2238212,-0.07576893,1.71578,-0.2496719,0.2977838,2.002759,0.1847643,0.350163,2.049661,-0.03756432,0.3804814,2.0119,-0.2528427,0.3722723,1.773919,0.1716802,0.4361455,1.792134,-0.1672092,-0.4216541,1.652212,0.2532783,-0.4093173,1.536261
-0.05527918,0.8175686,2.032285,-0.1778585,0.5578696,2.039392,0.114351,0.5628411,2.023214,-0.04676363,0.5939263,2.033927,-0.2381478,-0.1290437,1.711179,0.2121342,-0.07792395,1.709516,-0.2571839,0.3242818,2.023812,0.1839619,0.3525519,2.054028,-0.0417745,0.3799911,2.01201,-0.2654059,0.396082,1.780258,0.1762095,0.4369773,1.812986,-0.1829442,-0.4710099,1.717502,0.25622,-0.4044161,1.529442
-0.06753469,0.8155456,2.027066,-0.1833037,0.5546454,2.035448,0.112211,0.5624687,2.023237,-0.05797796,0.592841,2.029526,-0.2421337,-0.1369106,1.730829,0.1818328,-0.08314522,1.706512,-0.2832234,0.3095925,2.02038,0.1868308,0.3482049,2.056931,-0.05132176,0.3801196,2.013084,-0.2831665,0.4261641,1.767594,0.188898,0.4535939,1.818328,-0.1825921,-0.4241636,1.656249,0.1457386,-0.359183,1.647227
