HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
0.3322627,0.4165294,1.88477,0.1022736,0.1827708,1.831736,0.4309137,0.1446441,1.835345,0.0507024,-0.4765083,1.3424,0.3326557,-0.4813809,1.323355,-0.003527314,-0.03399331,1.662145,0.4641328,-0.09734831,1.792753,0.2634266,0.2181919,1.844635,-0.008959403,0.08425197,1.493104,0.4287319,0.03071775,1.576256,0.01859157,-0.952889,1.213164,0.3636644,-0.9574111,1.199219
0.33217,0.4164981,1.883494,0.102293,0.1827567,1.831244,0.4302497,0.1441583,1.834023,0.05257723,-0.4762948,1.348325,0.3299866,-0.4834065,1.326957,-0.00629117,-0.03068566,1.667814,0.4824537,-0.1133318,1.844178,0.2634197,0.2183382,1.843855,0.0001912533,0.03737839,1.548848,0.4449716,0.03348189,1.604472,0.02001458,-0.9519401,1.222074,0.361039,-0.9592337,1.20795
0.3336146,0.4174238,1.88437,0.1104889,0.1746423,1.821467,0.4304533,0.1442192,1.835082,0.03942623,-0.5926791,1.402812,0.3222678,-0.6129636,1.397614,-0.01767429,-0.04647683,1.791493,0.4758799,-0.118767,1.881662,0.2640821,0.2188794,1.842107,-0.006835266,0.04917331,1.569556,0.4610124,0.05852642,1.627717,0.07614049,-1.097912,1.369388,0.3633092,-1.121579,1.412025
0.3345765,0.4180042,1.883062,0.11046,0.1747135,1.821594,0.4305944,0.1439111,1.835114,0.04639751,-0.5646484,1.40039,0.3183336,-0.5896912,1.397296,-0.01009341,-0.04015721,1.811876,0.4864443,-0.09630301,1.885445,0.2644808,0.2190816,1.841714,-0.01196427,0.06232096,1.585713,0.4725934,0.08519056,1.651884,0.05254774,-1.025516,1.32741,0.3642982,-1.052789,1.358514
0.3346885,0.4181521,1.882672,0.1102719,0.1763618,1.822158,0.4279713,0.1381446,1.829562,0.04835431,-0.51816,1.337104,0.3390031,-0.5928591,1.419958,-0.01177161,-0.0248724,1.802724,0.4903044,-0.09546905,1.865473,0.2641181,0.220008,1.839923,-0.01898993,0.09148158,1.594315,0.4851447,0.1260816,1.670146,0.03352219,-0.8410761,1.376194,0.2836547,-1.057935,1.387675
0.3353474,0.4182567,1.881763,0.1130154,0.1748399,1.817363,0.4303933,0.1381761,1.833152,0.05473419,-0.5401945,1.405496,0.3139375,-0.5681528,1.41389,-0.01227944,-0.0223258,1.813561,0.4920914,-0.08563305,1.875903,0.2643634,0.2202061,1.839532,-0.0165189,0.1029984,1.606552,0.4888362,0.14761,1.688936,0.04550778,-0.9652742,1.304437,0.3667305,-1.009947,1.379858
0.3353131,0.4182471,1.881442,0.1113599,0.1764742,1.819408,0.4305725,0.1386704,1.833274,0.05339014,-0.4969015,1.344704,0.2994573,-0.5904702,1.44536,-0.0154032,-0.01790537,1.817123,0.4968562,-0.0953097,1.877719,0.264219,0.2204143,1.83917,-0.01626752,0.1300631,1.611925,0.4928909,0.1733204,1.701619,0.0422244,-0.7745858,1.383857,0.3927806,-0.9711689,1.280654
0.3352584,0.4184147,1.881791,0.1116328,0.1761208,1.819135,0.4320181,0.1401495,1.836591,0.05387751,-0.5338175,1.406709,0.3125688,-0.562887,1.413265,-0.01842965,-0.006813668,1.815585,0.5140625,-0.09592569,1.853409,0.2643196,0.2203723,1.839293,-0.002285732,0.180341,1.617489,0.4909084,0.2069912,1.70957,0.0473108,-0.9408504,1.296131,0.3683036,-0.987142,1.366976
0.3337805,0.4179175,1.88393,0.1092185,0.1664176,1.817984,0.4323325,0.1394758,1.837344,0.05184309,-0.4926399,1.34629,0.2983238,-0.5913542,1.44234,-0.04006118,0.02203726,1.768591,0.5346607,-0.03864199,1.793792,0.2641371,0.2204814,1.83929,0.01691377,0.2329989,1.6094,0.483835,0.239879,1.689517,0.04280371,-0.7740778,1.383803,0.3892491,-0.9402673,1.276382
0.3324356,0.4172841,1.886711,0.1119016,0.1613334,1.813391,0.4328028,0.1398097,1.83866,0.05590406,-0.5220767,1.413191,0.3100743,-0.5603486,1.413844,-0.05894763,-0.01848404,1.792351,0.5299681,-0.04481835,1.769152,0.2643923,0.2202796,1.840093,0.0292539,0.2385065,1.60227,0.4784212,0.2488329,1.670933,0.07887284,-0.9393921,1.358837,0.3740866,-0.9705626,1.357025
0.3308612,0.416537,1.889571,0.1100032,0.1633117,1.816449,0.4323989,0.1376454,1.83897,0.06250164,-0.4879999,1.373798,0.3350286,-0.4890376,1.348833,-0.05327987,-0.01581332,1.79269,0.5279802,-0.04157377,1.757306,0.2642367,0.2205256,1.840093,0.04043058,0.2501379,1.58954,0.4718061,0.2582875,1.647,0.04375396,-0.7712169,1.388086,0.3303079,-0.7784593,1.376642
0.3305567,0.4166047,1.890954,0.1209148,0.155099,1.802572,0.4328775,0.1386651,1.839912,0.05863011,-0.5165113,1.419345,0.3078885,-0.5535278,1.418322,-0.02962037,0.06172464,1.685217,0.510828,-0.0108522,1.70446,0.2651337,0.2202388,1.842098,0.06540342,0.2660174,1.557142,0.4540484,0.2713425,1.590335,0.08079434,-0.9308062,1.345224,0.3787408,-0.9569253,1.340077
0.3299803,0.4168555,1.891594,0.1215985,0.1524519,1.800933,0.4303435,0.1390456,1.836989,0.05233612,-0.4489816,1.355914,0.3214205,-0.4670166,1.33321,-0.02217223,0.0509751,1.685929,0.5014767,-0.01263261,1.697233,0.2649568,0.2202955,1.842402,0.08673047,0.2568396,1.521917,0.4384824,0.2517363,1.541077,0.02373276,-0.8299736,1.178942,0.3648379,-0.8434902,1.156232
0.3299227,0.4171588,1.891834,0.1262232,0.1528249,1.79588,0.4303263,0.1393423,1.83693,0.06276632,-0.5198551,1.427652,0.3083037,-0.5525337,1.424094,-0.00269101,0.06081863,1.658289,0.4946818,-0.01488058,1.689505,0.265149,0.2202946,1.842504,0.09541003,0.2384641,1.509469,0.4326061,0.2422502,1.524062,0.06899466,-0.9302616,1.330548,0.374814,-0.9537839,1.330971
0.3299177,0.4171426,1.891893,0.125613,0.1519916,1.79531,0.4297883,0.1394108,1.83617,0.07142799,-0.4448458,1.372161,0.2931324,-0.5862647,1.446758,0.000148206,0.06069348,1.65618,0.4868301,-0.01855514,1.68547,0.265097,0.2202508,1.842557,0.1014179,0.2321254,1.493355,0.427329,0.2305087,1.511155,0.04331107,-0.8182031,1.194884,0.3979746,-0.9328521,1.283236
0.3302726,0.4171412,1.891547,0.09651618,0.1631553,1.810724,0.4292282,0.1386834,1.834546,0.06252961,-0.4799109,1.387735,0.3323074,-0.4767731,1.358775,0.006048427,0.05585046,1.65321,0.4771629,-0.03043017,1.686481,0.2652043,0.2205972,1.842263,0.104161,0.1906537,1.479525,0.4211229,0.2004661,1.50495,0.04640083,-0.7683166,1.396042,0.3716566,-0.8535659,1.183036
0.3306957,0.4173966,1.89117,0.08242313,0.1720257,1.822508,0.429121,0.1385503,1.833834,0.06694287,-0.5081077,1.435741,0.3102291,-0.5423667,1.435073,-0.01119494,0.01124955,1.693579,0.4715998,-0.03852981,1.691571,0.2655624,0.220807,1.841714,0.101747,0.176486,1.474742,0.4197484,0.1877508,1.50728,0.05301609,-0.9144772,1.31181,0.3581042,-0.9435013,1.310497
0.3311262,0.417641,1.890355,0.08015323,0.1743914,1.825745,0.4287897,0.1374802,1.831968,0.06522032,-0.5091438,1.431981,0.3100083,-0.5426992,1.434059,-0.01145818,0.01066588,1.69492,0.4681796,-0.04800572,1.698674,0.2657721,0.2207327,1.841681,0.09768803,0.1633659,1.473253,0.419025,0.1716315,1.513019,0.05476332,-0.9100142,1.316351,0.3578676,-0.9374871,1.312615
0.3323749,0.4179102,1.888921,0.08345891,0.1798456,1.826807,0.4228695,0.1315603,1.823296,0.05555698,-0.4444267,1.368343,0.2960066,-0.5975577,1.443111,-0.01038351,0.008541336,1.697371,0.4682294,-0.04815546,1.703819,0.2662078,0.2210859,1.840569,0.08794638,0.1155015,1.487571,0.4223633,0.1377648,1.528604,0.01713381,-0.8177319,1.201713,0.3811977,-0.9210748,1.273891
