HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
0.2992428,0.3554556,2.057697,0.1247838,0.09794588,1.996541,0.43983,0.09171484,1.97096,0.09620347,-0.5383276,1.519358,0.3215568,-0.5299843,1.47471,-0.02755495,0.006184695,1.843179,0.5606565,-0.09574156,1.937446,0.272595,0.1477153,2.008974,-0.04808668,-0.1454735,2.081899,0.5341575,0.0992128,1.708695,0.08837121,-0.8964217,1.493275,0.3376222,-0.9984523,1.320263
0.2996194,0.3553271,2.061168,0.1244797,0.09727803,2.000291,0.4398203,0.09164226,1.971603,0.0847913,-0.5646356,1.518324,0.3188689,-0.5635106,1.468825,-0.04582192,-0.004872274,1.889369,0.5679752,-0.05483298,1.881977,0.2727276,0.147736,2.009588,-0.01668917,0.2395183,1.778927,0.5410826,0.2204046,1.736608,0.07207349,-0.8864136,1.531847,0.3392166,-1.043306,1.342661
0.2994987,0.3547281,2.0665,0.1242634,0.0971243,2.000099,0.4395036,0.09129287,1.971068,0.1066206,-0.5781832,1.60358,0.3171863,-0.591177,1.565087,-0.03901055,-0.0003943923,1.890687,0.5598282,-0.03843294,1.863592,0.2732464,0.147578,2.010205,0.01447232,0.284491,1.8078,0.5144085,0.2674966,1.764562,0.09237939,-1.038652,1.460177,0.3541417,-1.024722,1.391127
0.3001451,0.3536984,2.070014,0.1242125,0.09707166,2.000058,0.4394133,0.09131642,1.971064,0.07828286,-0.530052,1.541703,0.2966574,-0.5410851,1.497834,-0.03253159,0.01131352,1.873571,0.5529104,-0.02563039,1.850545,0.2740898,0.1474966,2.012084,0.03522368,0.2879242,1.814854,0.4940262,0.2815287,1.773016,0.09868369,-0.8810968,1.479002,0.3279773,-0.9993854,1.336504
0.3002596,0.3532332,2.071869,0.1246691,0.09693125,1.999617,0.4391291,0.09095132,1.970696,0.1079825,-0.5724471,1.607083,0.3112533,-0.5760662,1.568491,-0.02890951,0.03075292,1.852781,0.5442137,-0.02210487,1.849212,0.2749238,0.1472355,2.013163,0.05973727,0.293512,1.818837,0.4702576,0.2866444,1.777198,0.0936485,-1.009479,1.456343,0.3603529,-1.001071,1.396649
0.3009077,0.3521408,2.073198,0.1246513,0.09703898,1.99954,0.4377462,0.09097138,1.970277,0.09665155,-0.5376252,1.536353,0.3254406,-0.52642,1.489215,-0.01704412,0.04382939,1.84155,0.5339429,-0.01665857,1.834471,0.2751302,0.1473738,2.013896,0.08580481,0.2945307,1.818661,0.4467322,0.2894676,1.777986,0.08896769,-0.8847715,1.484764,0.3338243,-0.9580057,1.317586
0.3020816,0.3508991,2.073982,0.1258567,0.09676833,1.997234,0.4360142,0.08929265,1.968021,0.1091629,-0.5833656,1.602963,0.3118647,-0.5796594,1.557703,0.05711469,0.1579914,1.814722,0.5286142,-0.01716584,1.827858,0.2748737,0.1475231,2.014028,0.1141221,0.336469,1.833079,0.4213982,0.2802362,1.774199,0.08111165,-1.013226,1.46195,0.3555112,-1.006609,1.416095
0.3020873,0.3507682,2.074137,0.1309018,0.09135881,1.988012,0.433178,0.08857094,1.965407,0.09205259,-0.5537274,1.545233,0.3237436,-0.5440309,1.499885,0.03719485,0.08273131,1.823699,0.519819,-0.01766891,1.816601,0.2749244,0.1476652,2.013312,0.133136,0.2855544,1.809515,0.3979473,0.2684293,1.766962,0.08985762,-0.8865325,1.483079,0.3340722,-0.9689204,1.338367
0.303048,0.350257,2.072537,0.1371996,0.08626653,1.973791,0.4273293,0.08277005,1.955554,0.1113721,-0.5840726,1.605306,0.3202341,-0.578303,1.56146,0.1096471,0.147815,1.80018,0.5103654,-0.02111748,1.814907,0.2759958,0.150594,2.008724,0.1825852,0.3179601,1.8291,0.3766817,0.2603529,1.757788,0.07789686,-1.004954,1.452093,0.3452898,-0.9990555,1.40785
0.3043492,0.3514759,2.070756,0.1339828,0.08157347,1.96135,0.410408,0.07070459,1.9291,0.1082676,-0.5970287,1.598799,0.3208112,-0.5942829,1.554582,0.1301104,0.1497765,1.78981,0.4990023,-0.03089361,1.81652,0.278247,0.152971,2.004745,0.3180279,0.2738884,1.770736,0.3620417,0.2396315,1.746152,0.07493179,-1.009293,1.463037,0.3429378,-1.006673,1.419266
