HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, HandLeftX, HandLeftY, HandLeftZ, HandRightX, HandRightY, HandRightZ, FootLeftX, FootLeftY, FootLeftZ, FootRightX, FootRightY, FootRightZ
0.0058492,0.9003385,1.88632,-0.1781077,0.620827,1.721836,0.1055581,0.5868272,1.92385,-0.2104699,-0.2235022,1.459327,0.04331395,-0.2702631,1.611237,-0.3522454,0.4603867,1.611629,0.1987552,0.4261276,1.987954,-0.06781822,0.6951329,1.822949,-0.3998129,0.6043981,1.322177,0.4862545,0.4846228,2.077708,-0.2176573,-0.5906095,1.295246,0.03231692,-0.5228057,1.537511
0.006660924,0.9004752,1.886348,-0.1759518,0.6216241,1.718908,0.1055139,0.5860034,1.923829,-0.2038335,-0.2236675,1.449136,0.04506299,-0.2703867,1.6116,-0.348071,0.4677435,1.589763,0.1938032,0.4250107,1.992329,-0.06761599,0.6951905,1.822701,-0.3844584,0.6112931,1.309849,0.4759236,0.4829703,2.091357,-0.20706,-0.5828168,1.263575,0.03292612,-0.5188798,1.536517
0.00908999,0.899428,1.883015,-0.1653377,0.6263213,1.692585,0.1074983,0.587957,1.919195,-0.1961589,-0.2237529,1.4345,0.05027977,-0.2694907,1.61597,-0.3432183,0.4719939,1.576167,0.1656396,0.4211153,1.997402,-0.06505106,0.6994171,1.816339,-0.3565608,0.6258867,1.284946,0.4556868,0.4882617,2.119063,-0.1747414,-0.5674047,1.21221,0.1143361,-0.4482378,1.505715
0.007421582,0.8993831,1.879734,-0.1653757,0.627239,1.686508,0.107669,0.5899594,1.914117,-0.1936208,-0.2247824,1.426258,0.05267134,-0.268457,1.615319,-0.3394262,0.4818947,1.540177,0.1602726,0.4191477,1.99898,-0.0648802,0.7023945,1.810824,-0.3444576,0.628801,1.272883,0.4050885,0.4657771,2.106121,-0.2226465,-0.6371027,1.22387,0.1121291,-0.4489507,1.504444
-0.0008509916,0.8980894,1.865597,-0.1754983,0.6343824,1.663558,0.1003306,0.5942273,1.898778,-0.1923998,-0.2250703,1.411438,0.05214507,-0.2650204,1.615559,-0.3423147,0.4915785,1.497131,0.1186598,0.4173179,1.989264,-0.07124551,0.7076742,1.79566,-0.3218102,0.6325843,1.247962,0.3490771,0.4532747,2.109394,-0.2114722,-0.6320784,1.223753,0.03904356,-0.6147743,1.522002
-0.01571622,0.9024871,1.845699,-0.1874629,0.6407501,1.639382,0.08481173,0.5983363,1.877517,-0.1930435,-0.2312258,1.399013,0.04943642,-0.2597148,1.623767,-0.3421034,0.5010494,1.453973,0.10766,0.4186453,1.97851,-0.08578413,0.7113357,1.774611,-0.3039576,0.6262226,1.228314,0.3480035,0.4458985,2.106121,-0.2081899,-0.6308239,1.224777,0.1047432,-0.4583091,1.493167
-0.03507198,0.9052862,1.828879,-0.2046134,0.6435788,1.612146,0.06869268,0.598906,1.854843,-0.1956268,-0.24061,1.381532,0.03874412,-0.2559654,1.621107,-0.3498355,0.4989226,1.42546,0.08830483,0.4187826,1.953961,-0.1022412,0.7115396,1.751614,-0.2904498,0.6254156,1.210055,0.3293855,0.4462228,2.080688,-0.2057958,-0.6343257,1.222578,0.1072527,-0.4522829,1.49088
-0.04408525,0.9074214,1.821022,-0.2110629,0.6447377,1.602065,0.06239306,0.5990369,1.846946,-0.1979689,-0.2368896,1.377923,0.02477822,-0.2589521,1.608636,-0.3520671,0.5003531,1.414196,0.0825518,0.4188163,1.94704,-0.1078033,0.7123588,1.744095,-0.2852057,0.6237074,1.203678,0.3237234,0.446273,2.073736,-0.2053587,-0.6326029,1.223863,-0.03931237,-0.5327536,1.527992
-0.04996318,0.9122998,1.811235,-0.2130262,0.6439468,1.600128,0.06240035,0.599326,1.8472,-0.200803,-0.2343048,1.373612,0.01467516,-0.2577151,1.605532,-0.3521261,0.5042158,1.402,0.08254678,0.4191093,1.947333,-0.1078135,0.7126797,1.744153,-0.2864355,0.6132363,1.207713,0.3237527,0.4465649,2.074034,-0.205213,-0.631927,1.224764,-0.02964716,-0.5875363,1.53432
-0.06696745,0.9091102,1.797942,-0.2461521,0.6255029,1.569692,0.03642044,0.6036813,1.821028,-0.2025948,-0.2383341,1.365817,0.007736158,-0.255825,1.600644,-0.3571109,0.5072615,1.37603,-0.08172808,0.8239558,1.725446,-0.1313238,0.7170609,1.719134,-0.2757649,0.6234328,1.18557,0.1610869,0.866299,1.852759,-0.2040199,-0.6357137,1.222265,-0.04475828,-0.5398968,1.512282
