TimeStamp, FrameNoHeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
1,13,0.01870746,0.8525606,1.630395,-0.1311975,0.586904,1.645564,0.218743,0.6139207,1.556076,0.06011913,0.6599498,1.601468,-0.07145292,-0.2130692,1.340055,0.3111506,-0.1259946,1.256592,-0.198715,0.374665,1.56725,0.4193701,0.5355482,1.485747,0.06204288,0.4293011,1.54973,0.01422284,0.4486297,1.381533,0.2240277,0.4253401,1.364803,-0.1088723,-0.5076451,1.181174,0.3483214,-0.3090852,1.213873
1,14,0.02954218,0.8538254,1.627958,-0.109921,0.5921139,1.620217,0.2559901,0.6369967,1.55557,0.06841756,0.6637071,1.597912,-0.06793907,-0.2091035,1.342603,0.3124725,-0.1306822,1.25321,-0.1895135,0.3790067,1.563558,0.4324306,0.5419301,1.484644,0.07265518,0.4335776,1.547579,0.01928009,0.4577911,1.380994,0.2417684,0.4317411,1.364398,-0.07703,-0.4043315,1.206785,0.3422852,-0.3491211,1.24707
1,15,0.04123423,0.8537924,1.625091,-0.1096489,0.5923167,1.622478,0.2542414,0.6351485,1.555177,0.07318632,0.6640139,1.597282,-0.05425017,-0.2116684,1.344046,0.3201547,-0.1329882,1.252952,-0.1793419,0.3817016,1.540117,0.4576812,0.5534303,1.480915,0.07940882,0.4341672,1.547182,0.02616472,0.4683463,1.375869,0.2498326,0.4364282,1.365441,0.01206346,-0.3934622,1.311318,0.33447,-0.3457277,1.244602
1,16,0.05615012,0.8527604,1.621647,-0.08715099,0.5961949,1.607565,0.272443,0.6385191,1.550821,0.0926441,0.6649176,1.589659,-0.04301405,-0.211673,1.343335,0.3261252,-0.1432952,1.251994,-0.1661538,0.3893812,1.525079,0.4703118,0.5588222,1.476044,0.09851765,0.4351479,1.542291,0.04301778,0.4794899,1.37516,0.2665879,0.4463878,1.363304,-0.001704115,-0.3677379,1.304354,0.3422422,-0.3727059,1.245361
1,17,0.09126863,0.8515379,1.613487,-0.05981461,0.6072157,1.604155,0.3038226,0.6455025,1.543735,0.1229616,0.6671207,1.582099,-0.02483012,-0.2062299,1.34134,0.3372364,-0.1571996,1.261022,-0.1435493,0.4015208,1.514604,0.5058262,0.5749328,1.459426,0.1286764,0.4378673,1.537034,0.06720056,0.4896458,1.373091,0.2907698,0.4658043,1.368672,0.0003804937,-0.3865032,1.306733,0.3415963,-0.3694156,1.241864
1,18,0.09995943,0.851999,1.611539,-0.04987638,0.6107028,1.60241,0.3130188,0.6476701,1.540406,0.1329616,0.6691379,1.578766,-0.0157103,-0.2062682,1.33889,0.340402,-0.1605239,1.25819,-0.1374541,0.403057,1.515726,0.5122,0.5780224,1.457339,0.138643,0.4393404,1.534821,0.08044241,0.4867975,1.372815,0.3031027,0.4753132,1.362441,0.03654414,-0.3564968,1.29874,0.3327625,-0.4000445,1.243619
1,19,0.1144023,0.8519685,1.609031,-0.04722073,0.6117043,1.602333,0.3129779,0.6477711,1.540533,0.1364537,0.6704174,1.578045,-0.006275396,-0.2048913,1.336856,0.3404593,-0.1649242,1.258563,-0.1228611,0.4023025,1.536391,0.5288838,0.586249,1.453349,0.1451526,0.4413336,1.533795,0.1072276,0.4817674,1.373104,0.2672213,0.4627594,1.371936,0.03820943,-0.3560542,1.297846,0.3215036,-0.4228657,1.248081
1,20,0.1270027,0.8569992,1.605755,-0.02561481,0.6181775,1.600397,0.3488844,0.6596452,1.532316,0.163423,0.6818139,1.571899,-0.003142079,-0.2007424,1.338556,0.349248,-0.1679944,1.262936,-0.1114972,0.4134878,1.54637,0.5358468,0.5872952,1.452443,0.1662503,0.4498599,1.529967,0.1177929,0.4672888,1.366818,0.2591257,0.4529814,1.393318,0.05984195,-0.2549652,1.298653,0.3188509,-0.43345,1.24595
1,21,0.137829,0.8629031,1.601802,-0.01218566,0.6186417,1.597965,0.3564305,0.6584519,1.530369,0.1721946,0.6850855,1.570256,0.01007738,-0.2038512,1.340902,0.3555166,-0.1726641,1.264796,-0.08553726,0.4083261,1.520354,0.5415076,0.584288,1.449745,0.175836,0.452646,1.528196,0.1331475,0.4468108,1.364431,0.2680275,0.4489988,1.384792,0.05393821,-0.2500703,1.294281,0.3512546,-0.4279723,1.239812
1,22,0.1486627,0.8655864,1.59913,0.01146952,0.6193464,1.592376,0.3659566,0.6558037,1.526318,0.1848523,0.6867793,1.567206,0.01195178,-0.2041025,1.339899,0.3596136,-0.1783613,1.264797,-0.0813529,0.4077775,1.520573,0.5438181,0.5803682,1.449299,0.1869008,0.4537163,1.525403,0.1587405,0.4288074,1.330192,0.2956797,0.4478862,1.338895,0.05360316,-0.249996,1.292821,0.3625142,-0.4287986,1.23818
1,23,0.1578559,0.8673366,1.596499,0.01982704,0.6178727,1.591038,0.3731482,0.6500564,1.521057,0.1957463,0.6875902,1.564789,0.01729699,-0.2064489,1.337564,0.3647746,-0.1847306,1.263211,-0.0122924,0.38698,1.545419,0.544343,0.564842,1.448793,0.1976036,0.4535764,1.522492,0.2092961,0.4048011,1.358306,0.3435796,0.4270038,1.336364,0.04698747,-0.3553996,1.296073,0.3612174,-0.4081342,1.147348
1,24,0.168012,0.8665765,1.593039,0.03023265,0.6173726,1.590633,0.3814742,0.6419144,1.51604,0.205361,0.6866164,1.562827,0.02759729,-0.2088905,1.332989,0.3713528,-0.1865671,1.261504,-0.007565041,0.3800634,1.547539,0.5436306,0.5368847,1.444248,0.20525,0.4519956,1.520653,0.1206944,0.3325011,1.343122,0.3441824,0.3953689,1.321509,0.05133432,-0.3556994,1.294117,0.3582067,-0.409872,1.147706
