HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
0.07111814,0.8038685,1.969078,-0.1465299,0.5680696,1.955403,0.1685941,0.5486196,2.018118,0.009014891,0.5969914,1.977747,-0.1734943,-0.1699841,1.698823,0.1733039,-0.1947762,1.74281,-0.1769858,0.3301668,1.837545,0.194015,0.3934171,2.112813,0.006766114,0.3773401,1.971944,-0.100865,0.38179,1.710719,0.1927909,0.2864215,1.86272,-0.1778092,-0.5999365,1.559751,0.1850117,-0.6218373,1.591282
0.07111814,0.8038685,1.969078,-0.1465299,0.5680696,1.955403,0.1685941,0.5486196,2.018118,0.009014891,0.5969914,1.977747,-0.1734943,-0.1699841,1.698823,0.1733039,-0.1947762,1.74281,-0.1769858,0.3301668,1.837545,0.194015,0.3934171,2.112813,0.006766114,0.3773401,1.971944,-0.100865,0.38179,1.710719,0.1927909,0.2864215,1.86272,-0.1778092,-0.5999365,1.559751,0.1850117,-0.6218373,1.591282
0.07052321,0.8044865,1.970522,-0.1466932,0.5684334,1.956051,0.1685387,0.5489351,2.018921,0.00762845,0.5968488,1.977286,-0.1891764,-0.2186162,1.706019,0.1909797,-0.2270919,1.748924,-0.177143,0.3325287,1.837956,0.1916933,0.3907637,2.107619,0.00197771,0.3753532,1.959634,-0.1338274,0.3643289,1.717155,0.2014638,0.3152633,1.834679,-0.1324262,-0.5242001,1.646798,0.1496171,-0.764108,1.673741
0.07052321,0.8044865,1.970522,-0.1466932,0.5684334,1.956051,0.1685387,0.5489351,2.018921,0.00762845,0.5968488,1.977286,-0.1891764,-0.2186162,1.706019,0.1909797,-0.2270919,1.748924,-0.177143,0.3325287,1.837956,0.1916933,0.3907637,2.107619,0.00197771,0.3753532,1.959634,-0.1338274,0.3643289,1.717155,0.2014638,0.3152633,1.834679,-0.1324262,-0.5242001,1.646798,0.1496171,-0.764108,1.673741
0.06972634,0.8052332,1.971335,-0.1478979,0.5675029,1.955049,0.166333,0.5520036,2.021217,0.004833276,0.5976002,1.976033,-0.15405,-0.2341235,1.744187,0.1246411,-0.3262739,1.792625,-0.1767108,0.3308784,1.83143,0.1786239,0.3609743,2.062994,7.667678E-05,0.3741548,1.95464,-0.1527272,0.3642616,1.72439,0.1930041,0.310736,1.857316,-0.2068636,-0.625056,1.720387,0.1544085,-0.777114,1.657216
0.06972634,0.8052332,1.971335,-0.1478979,0.5675029,1.955049,0.166333,0.5520036,2.021217,0.004833276,0.5976002,1.976033,-0.15405,-0.2341235,1.744187,0.1246411,-0.3262739,1.792625,-0.1767108,0.3308784,1.83143,0.1786239,0.3609743,2.062994,7.667678E-05,0.3741548,1.95464,-0.1527272,0.3642616,1.72439,0.1930041,0.310736,1.857316,-0.2068636,-0.625056,1.720387,0.1544085,-0.777114,1.657216
0.06612004,0.8066936,1.972341,-0.1501123,0.5670548,1.95293,0.1656365,0.5521815,2.021343,-0.0005616073,0.5988485,1.974549,-0.1548156,-0.2295142,1.745448,0.1235351,-0.3250344,1.792683,-0.1720527,0.3430042,1.8024,0.1665436,0.29779,2.018409,-0.004320179,0.3741377,1.951085,-0.1668006,0.3952377,1.565083,0.1995514,0.3372437,1.828643,-0.2384778,-0.4975018,1.708398,0.1544607,-0.7830256,1.652588
0.06612004,0.8066936,1.972341,-0.1501123,0.5670548,1.95293,0.1656365,0.5521815,2.021343,-0.0005616073,0.5988485,1.974549,-0.1548156,-0.2295142,1.745448,0.1235351,-0.3250344,1.792683,-0.1720527,0.3430042,1.8024,0.1665436,0.29779,2.018409,-0.004320179,0.3741377,1.951085,-0.1668006,0.3952377,1.565083,0.1995514,0.3372437,1.828643,-0.2384778,-0.4975018,1.708398,0.1544607,-0.7830256,1.652588
0.05956693,0.808702,1.973356,-0.1558086,0.5663828,1.949909,0.1552138,0.5566124,2.022924,-0.008783355,0.6011044,1.972083,-0.1593107,-0.2258469,1.744869,0.1201255,-0.3228692,1.792079,-0.1753163,0.3500798,1.805625,0.1632345,0.3031143,2.081053,-0.01227569,0.375943,1.94698,-0.1774179,0.3903252,1.561807,0.1726874,0.3562152,1.834236,-0.1570165,-0.5775608,1.631979,0.1530918,-0.7847201,1.652532
0.05956693,0.808702,1.973356,-0.1558086,0.5663828,1.949909,0.1552138,0.5566124,2.022924,-0.008783355,0.6011044,1.972083,-0.1593107,-0.2258469,1.744869,0.1201255,-0.3228692,1.792079,-0.1753163,0.3500798,1.805625,0.1632345,0.3031143,2.081053,-0.01227569,0.375943,1.94698,-0.1774179,0.3903252,1.561807,0.1726874,0.3562152,1.834236,-0.1570165,-0.5775608,1.631979,0.1530918,-0.7847201,1.652532
