TimeStamp, FrameNoHeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
0,27,0.2049444,0.8374574,1.808034,0.104681,0.5353019,1.833019,0.4127592,0.5800803,1.72361,0.2506258,0.6211648,1.784448,0.06835077,-0.2018644,1.474021,0.4728502,-0.05706473,1.340286,0.05859193,0.3246242,1.832057,0.5232197,0.3830627,1.721787,0.2584553,0.387949,1.750464,-0.0783548,0.3065341,1.713229,0.5431212,0.4812589,1.47122,0.105733,-0.569304,1.434755,0.4150854,-0.4822516,1.370401
0,28,0.2110776,0.8366355,1.807983,0.1067006,0.5361229,1.832991,0.4168147,0.5832492,1.723849,0.2544213,0.6220505,1.782368,0.07626004,-0.25895,1.509857,0.5173642,-0.1300712,1.366166,0.06398136,0.3223707,1.830006,0.5250751,0.3830384,1.726399,0.2598647,0.3929285,1.737274,-0.1778055,0.4028063,1.631837,0.5530197,0.4600479,1.480792,0.0931996,-0.6175079,1.439822,0.4793111,-0.5076933,1.328499
0,29,0.2147149,0.8376342,1.808681,0.1080736,0.539547,1.841007,0.4161583,0.5788313,1.71801,0.2589532,0.6220284,1.780421,0.1463689,-0.2492881,1.521828,0.3892628,-0.2286796,1.44716,0.07632281,0.3201666,1.826379,0.5247208,0.3395962,1.73064,0.2644821,0.3899663,1.730385,-0.1555809,0.3965278,1.639506,0.5663558,0.4616036,1.476373,0.126161,-0.5362225,1.450879,0.3949412,-0.4408193,1.392066
0,30,0.2211234,0.8390433,1.808366,0.1121561,0.5430352,1.842945,0.4163918,0.5788259,1.718232,0.2653305,0.6227188,1.778648,0.1372084,-0.2638581,1.518149,0.3995762,-0.2441101,1.44641,0.1007055,0.3185031,1.821854,0.5311074,0.3357843,1.726814,0.2691847,0.3893927,1.726754,-0.07998051,0.3691709,1.639124,0.5858133,0.4697875,1.457578,0.1306941,-0.5102118,1.452448,0.3951724,-0.3974457,1.396204
1,31,0.2254431,0.8394673,1.808153,0.115351,0.5456157,1.843532,0.4166818,0.5788393,1.718399,0.2689066,0.62326,1.777652,0.1340204,-0.270885,1.514683,0.4047957,-0.2537239,1.4473,0.1029816,0.3188044,1.821113,0.5363119,0.3338765,1.722127,0.2726704,0.3894346,1.724843,-0.06113118,0.3597527,1.633165,0.5923041,0.4747016,1.448233,0.08203125,-0.737793,1.376953,0.3954381,-0.3982017,1.396184
1,32,0.2287444,0.8400656,1.807763,0.1151043,0.5456221,1.843146,0.4169504,0.5788316,1.718604,0.2708696,0.6232528,1.777299,0.125933,-0.274453,1.512479,0.4076987,-0.2588049,1.447439,0.1048682,0.3191905,1.822648,0.5371324,0.3314408,1.721268,0.2736637,0.3894536,1.724673,-0.04756607,0.3436807,1.618687,0.5904531,0.4714258,1.439238,0.1184641,-0.7458243,1.353635,0.3957078,-0.3985271,1.396191
1,33,0.2305675,0.8405207,1.807384,0.1155372,0.546312,1.842787,0.4173142,0.5787732,1.718976,0.2718909,0.6232408,1.777315,0.1155348,-0.2771069,1.517274,0.4099382,-0.2619747,1.446655,0.1351323,0.2741877,1.785578,0.5337954,0.3273228,1.724299,0.2740718,0.3894383,1.724854,-0.05985089,0.3442955,1.610076,0.583216,0.4657556,1.440856,0.1158039,-0.7349322,1.356652,0.3964418,-0.399608,1.396647
1,34,0.2315551,0.8401794,1.806737,0.1153004,0.5460466,1.842087,0.418133,0.5773973,1.719622,0.272287,0.6228862,1.777301,0.1064176,-0.2785392,1.522284,0.4114394,-0.2631376,1.445222,0.1085552,0.2803776,1.829774,0.5236217,0.3160537,1.735822,0.2740602,0.389345,1.725091,-0.05913501,0.3368029,1.600668,0.5658473,0.4500345,1.442525,0.1100229,-0.728039,1.358023,0.3936467,-0.4027222,1.397036
1,35,0.231778,0.8393771,1.806295,0.1134893,0.5453797,1.841688,0.4187085,0.5763311,1.720317,0.2696281,0.622127,1.777907,0.08932317,-0.277261,1.531215,0.4117774,-0.2625721,1.443407,0.08301356,0.2810142,1.815773,0.5057943,0.3043746,1.75857,0.2714639,0.3891417,1.726552,-0.1148423,0.3474912,1.564023,0.5423579,0.4303128,1.447139,0.1045004,-0.7260686,1.360767,0.4209002,-0.3987689,1.39629
1,36,0.2311194,0.8379443,1.805459,0.108949,0.5455927,1.842933,0.4186869,0.5754666,1.720946,0.2686414,0.6201823,1.778259,0.08564454,-0.2825433,1.53419,0.4112742,-0.259198,1.440424,0.04299159,0.2986927,1.804028,0.5111028,0.3453937,1.711995,0.2688372,0.3874927,1.728317,-0.1461518,0.3449759,1.534752,0.5137064,0.4073977,1.453203,0.101971,-0.7303492,1.356826,0.4203394,-0.3961565,1.395028
