HeadX, HeadY, HeadZ, ShoulderLeftX, ShoulderLeftY, ShoulderLeftZ, ShoulderRightX, ShoulderRightY, ShoulderRightZ, ShoulderCenterX, ShoulderCenterY, ShoulderCenterZ, KneeLeftX, KneeLeftY, KneeLeftZ, KneeRightX, KneeRightY, KneeRightZ, ElbowLeftX, ElbowLeftY, ElbowLeftZ, ElbowRightX, ElbowRightY, ElbowRightZ, SpineX, SpineY, SpineZ, LeftHandX, LeftHandY, LeftHandZ, RightHandX, RightHandY, RightHandZ, LeftFootX, LeftFootY, LeftFootZ, RightFootX, RightFootY, RightFootZ
0.09865332,0.7813895,2.137837,-0.09379831,0.5442804,2.187127,0.2352269,0.5417346,2.184946,0.06432939,0.5705269,2.164911,-0.08916471,-0.1567469,1.947923,0.174688,-0.2906058,2.009436,-0.0989074,0.2626869,2.109553,0.2939175,0.3157443,2.254111,0.06138176,0.3464232,2.168426,-0.125251,-0.07172456,2.010919,0.3400918,-0.07324854,2.256392,-0.1274901,-0.6346486,1.805912,0.1747901,-0.8393805,1.933693
0.0967301,0.7816767,2.141147,-0.09413729,0.544469,2.187884,0.233282,0.5411641,2.185143,0.06321449,0.5703717,2.165367,-0.1000228,-0.3816669,1.997025,0.1857985,-0.3733951,1.990847,-0.1339477,0.2594989,2.227425,0.2725199,0.3199255,2.188102,0.05744055,0.3444216,2.160331,-0.1360831,0.3096973,1.936913,0.3369037,-0.001101588,2.362937,-0.1316105,-0.9184062,1.866357,0.1802973,-0.9535638,1.925241
0.09115813,0.7833027,2.144425,-0.09581517,0.5414076,2.186861,0.2314516,0.5374389,2.186507,0.05988708,0.5680691,2.165316,-0.04262115,-0.4576916,2.121522,0.1180937,-0.4621719,2.110824,-0.1572625,0.2722578,2.279879,0.2676428,0.3157521,2.18389,0.05459744,0.3357774,2.153303,-0.1485216,0.3119323,1.940652,0.3266327,0.02841923,2.378089,-0.1435919,-0.8481297,1.831912,0.1802256,-0.8950052,1.803994
0.08162714,0.7843588,2.148748,-0.09856042,0.5396645,2.187206,0.2311449,0.5373313,2.187017,0.05405813,0.565996,2.166194,-0.04434912,-0.490735,2.129016,0.1168071,-0.4933198,2.11672,-0.1435087,0.2832932,2.203778,0.2326594,0.3051988,2.152447,0.05034634,0.3319305,2.151329,-0.163977,0.3148834,1.94613,0.3152841,0.05171299,2.384485,-0.106637,-0.9557496,1.935815,0.1779156,-0.889421,1.801941
0.07092947,0.7854964,2.151876,-0.1059208,0.5371168,2.190591,0.2295506,0.5365251,2.187299,0.04514179,0.5646835,2.167409,-0.1221688,-0.4736623,1.992735,0.1152694,-0.4935141,2.116745,-0.1496135,0.284691,2.211853,0.2502378,0.3056213,2.188844,0.0441143,0.3293649,2.149802,-0.1832,0.3189647,1.954059,0.3090308,0.05314675,2.388383,-0.1380256,-0.8743706,1.838351,0.1761065,-0.8884444,1.805143
0.06130153,0.7871287,2.154048,-0.1162971,0.5355535,2.195762,0.2120502,0.5280897,2.186255,0.03723067,0.5650032,2.168776,-0.04856297,-0.4961855,2.136646,0.1153651,-0.500802,2.1177,-0.1555863,0.2891848,2.207542,0.2490181,0.3051364,2.189748,0.03634758,0.3293746,2.14902,-0.2001221,0.3233792,1.95925,0.3113663,0.003408572,2.374491,-0.1095851,-0.95903,1.942176,0.176556,-0.8860006,1.805491
0.05058479,0.7876255,2.156737,-0.1213085,0.5348814,2.196397,0.2016364,0.5234844,2.184195,0.028095,0.5656774,2.170472,-0.1201529,-0.4806114,2.017517,0.1655525,-0.4584917,1.992136,-0.1607147,0.2918411,2.206827,0.2420042,0.3071615,2.186592,0.02648535,0.3306722,2.149208,-0.2185091,0.326984,1.966538,0.3046823,0.00660804,2.377911,-0.1462961,-0.8491654,1.814315,0.1745646,-0.8866169,1.804202
0.04137946,0.7874859,2.158202,-0.1209199,0.536285,2.196536,0.1951865,0.5211636,2.182705,0.01809487,0.5659359,2.1713,-0.1208362,-0.4808987,2.01852,0.1636505,-0.4597926,1.992464,-0.176298,0.2915486,2.2071,0.2338752,0.310192,2.185442,0.01629543,0.330779,2.14843,-0.2346094,0.328611,1.970369,0.2986053,0.006995479,2.378446,-0.1467654,-0.8476748,1.813434,0.1732524,-0.8819773,1.803406
0.03151561,0.7870428,2.161826,-0.1355937,0.5336581,2.197207,0.1854828,0.520636,2.185074,0.007619692,0.5657626,2.173313,-0.1241427,-0.4855047,2.021013,0.08228171,-0.4925657,2.129203,-0.1913595,0.3062,2.20344,0.2108251,0.3080381,2.181718,0.006122911,0.3302389,2.148632,-0.2493182,0.3282002,1.971344,0.2981195,0.06048183,2.392957,-0.1483804,-0.8639274,1.780637,0.1869441,-0.8781036,1.834053
0.0233467,0.7865345,2.163672,-0.1462492,0.5321544,2.19931,0.1744463,0.522943,2.188384,-0.001654266,0.5654234,2.175094,-0.1361071,-0.4887972,2.003645,0.1377061,-0.410114,1.982969,-0.1969986,0.3109489,2.204203,0.2108359,0.3076471,2.181789,-0.003256399,0.330892,2.149123,-0.2597697,0.3248767,1.970371,0.2947403,0.06162071,2.392129,-0.1183577,-1.000244,1.917972,0.1858277,-0.8726205,1.830986
0.01275697,0.7863677,2.167188,-0.1604002,0.5301021,2.203793,0.165638,0.5194497,2.190852,-0.009963549,0.5640166,2.176166,-0.1394436,-0.4885184,2.000955,0.1499454,-0.478123,1.984586,-0.2111108,0.3188325,2.209395,0.2139069,0.3019474,2.348561,-0.01291201,0.3306291,2.14981,-0.2681022,0.320551,1.966734,0.3082627,0.001590137,2.3778,-0.1479821,-0.8545247,1.788364,0.1802984,-0.8736645,1.824402
0.004747259,0.7844566,2.171007,-0.1699646,0.5268688,2.205522,0.1578797,0.5176466,2.192932,-0.01683374,0.5630501,2.177329,-0.1422352,-0.4870591,1.999793,0.1496434,-0.478043,1.984358,-0.2424149,0.2902028,2.264029,0.2117058,0.3005797,2.349815,-0.0183892,0.3297841,2.150219,-0.2736396,0.3184968,1.963233,0.3376289,-0.02037144,2.369828,-0.1473219,-0.8563666,1.788243,0.1763652,-0.8770641,1.81852
-0.0008343915,0.7834123,2.172525,-0.1811608,0.5223683,2.209535,0.1519803,0.5153167,2.196326,-0.0225135,0.5619134,2.178052,-0.1460971,-0.4882065,1.998832,0.1485906,-0.4779479,1.983463,-0.2420306,0.3103088,2.228982,0.210822,0.293801,2.355605,-0.02536879,0.3282157,2.150664,-0.2763252,0.3182645,1.956864,0.2782205,-0.06467825,2.363504,-0.1426976,-0.8752608,1.833771,0.1690311,-0.8867441,1.793092
-0.005822748,0.7831482,2.174816,-0.1866782,0.5193213,2.207508,0.1439556,0.515353,2.202317,-0.02983459,0.5617175,2.179359,-0.1486747,-0.4881896,1.997588,0.1420444,-0.4708371,1.986259,-0.2439467,0.3080818,2.165749,0.2077737,0.2893946,2.362,-0.03131004,0.3270827,2.151653,-0.2761487,0.3286799,1.947294,0.2794941,-0.03197881,2.372813,-0.1314496,-0.9340427,1.882728,0.1718234,-0.8811388,1.797778
-0.008652514,0.7835386,2.176576,-0.1867109,0.5195475,2.20709,0.1423828,0.5154232,2.203442,-0.03303935,0.5615665,2.180424,-0.1497185,-0.4887251,1.997302,0.1408167,-0.4760442,1.987724,-0.2450984,0.3054916,2.164251,0.2062714,0.2863483,2.366052,-0.03469596,0.3261895,2.152603,-0.2717549,0.3301468,1.94356,0.260121,-0.07881667,2.362612,-0.1387856,-0.8743799,1.830198,0.1733894,-0.8781952,1.801397
-0.009427859,0.7849219,2.177828,-0.1862767,0.5205256,2.205274,0.1407881,0.5146934,2.204181,-0.03551603,0.5626129,2.180412,-0.1501895,-0.4881474,1.99738,0.1401035,-0.4796549,1.992005,-0.2507785,0.302157,2.144935,0.2041747,0.2833054,2.370736,-0.03640534,0.3260621,2.152897,-0.263653,0.3380577,1.930601,0.2800887,-0.04405055,2.369328,-0.1395776,-0.8677585,1.827641,0.1594391,-0.889133,1.823488
-0.009577269,0.7855365,2.178766,-0.1854586,0.5211701,2.202267,0.1381874,0.5169678,2.208338,-0.03760836,0.5636193,2.180487,-0.150502,-0.4885529,1.997451,0.1396786,-0.4797537,1.992602,-0.2498492,0.3002185,2.135522,0.2033524,0.2813373,2.375145,-0.03755195,0.3260073,2.153303,-0.2511716,0.3308707,1.921183,0.2937576,-0.03553724,2.370244,-0.1357937,-0.8759131,1.833757,0.1654803,-0.8830476,1.815299
-0.009558514,0.7856601,2.179007,-0.1848664,0.522025,2.200485,0.1371227,0.517886,2.209028,-0.03851848,0.5641637,2.180607,-0.1503786,-0.4890384,1.99752,0.1398949,-0.4816479,1.993923,-0.2576147,0.2845669,2.163993,0.2027075,0.2829397,2.374301,-0.03812485,0.325976,2.15372,-0.2444925,0.3296745,1.916843,0.2888522,-0.007535697,2.376634,-0.138995,-0.863,1.803321,0.1668012,-0.8825905,1.812423
-0.009089715,0.7860956,2.179612,-0.1849068,0.5229318,2.199025,0.1362265,0.5181839,2.209236,-0.03870682,0.5644742,2.180887,-0.149871,-0.4897999,1.997183,0.1402056,-0.4811938,1.993969,-0.2434771,0.2883444,2.113863,0.2021275,0.2843318,2.373725,-0.03819387,0.3258763,2.154243,-0.2344713,0.3247902,1.910176,0.2854348,-0.0379798,2.37037,-0.1381445,-0.8642607,1.802836,0.1696517,-0.8781384,1.812685
-0.008133761,0.7864021,2.180248,-0.1872001,0.5216618,2.183076,0.1352796,0.5182397,2.20943,-0.03864221,0.5646314,2.180905,-0.1489998,-0.4899688,1.996913,0.1407617,-0.4806528,1.994397,-0.2484374,0.2854127,2.124406,0.2032595,0.2824676,2.37637,-0.03730662,0.3255509,2.154708,-0.2238565,0.3196009,1.905265,0.2931612,-0.07369091,2.355938,-0.132524,-0.862547,1.807405,0.1694694,-0.8785521,1.808579
-0.006613826,0.7870902,2.180188,-0.185966,0.5227695,2.185009,0.1352805,0.5178469,2.210039,-0.03795547,0.5653508,2.180845,-0.1476583,-0.4906598,1.996232,0.07874405,-0.4997123,2.129839,-0.2739692,0.2791853,2.211625,0.2057897,0.2802043,2.37944,-0.03542835,0.3259094,2.155422,-0.210462,0.316311,1.900803,0.291167,-0.104253,2.348599,-0.1328188,-0.8660625,1.801745,0.1730837,-0.8721409,1.816453
-0.002797504,0.7874611,2.179821,-0.1838585,0.5225705,2.176947,0.135847,0.5179335,2.212171,-0.03628701,0.5661246,2.180752,-0.1448804,-0.4895487,1.994957,0.07954191,-0.4994372,2.1299,-0.2653736,0.2858105,2.189907,0.2075679,0.2777584,2.382653,-0.0315073,0.3259122,2.15616,-0.1978267,0.3190414,1.895575,0.2656421,-0.07081491,2.36212,-0.1298235,-0.8751427,1.776905,0.1916027,-0.9139606,1.863179
0.003427944,0.7880808,2.179141,-0.1795677,0.523021,2.172095,0.1368817,0.5204795,2.215745,-0.03254016,0.5679194,2.179698,-0.1381689,-0.4781876,1.993577,0.08045246,-0.4968591,2.133442,-0.2396904,0.2824798,2.163396,0.2101863,0.2768098,2.385397,-0.02398767,0.3268702,2.156571,-0.1859344,0.3224833,1.893797,0.2723621,-0.05092633,2.366707,-0.12503,-0.9126424,1.742706,0.1830304,-0.9041381,1.834343
0.01024473,0.7889884,2.178344,-0.1704454,0.5241392,2.1652,0.1368337,0.5284221,2.222117,-0.02773211,0.5693681,2.178476,-0.1347916,-0.475805,1.992667,0.08525072,-0.4985873,2.134884,-0.2454405,0.2902108,2.186589,0.2187568,0.2845733,2.391665,-0.01726064,0.3276149,2.157086,-0.1741057,0.3258833,1.891073,0.297807,-0.1057552,2.344847,-0.1211737,-0.8682952,1.797427,0.1801895,-0.8974568,1.822278
0.01681226,0.7905424,2.1764,-0.1642901,0.5242438,2.160784,0.1395078,0.5467904,2.23215,-0.01961638,0.5706252,2.176233,-0.127006,-0.4711886,1.990458,0.09026432,-0.5003297,2.135237,-0.2435423,0.2899837,2.188346,0.2194734,0.2602278,2.33815,-0.008193373,0.328716,2.157578,-0.1591765,0.3266111,1.889215,0.3043826,-0.09119021,2.344829,-0.1179945,-0.8686126,1.798677,0.1794576,-0.8938003,1.817305
0.0232021,0.7907138,2.174173,-0.1592205,0.5249703,2.158481,0.1410504,0.5474715,2.227998,-0.01386974,0.5721805,2.17498,-0.04474976,-0.4917473,2.137988,0.09332737,-0.5016654,2.137056,-0.2099274,0.2864561,2.156596,0.2211023,0.2915688,2.390083,-0.001298245,0.3298782,2.157223,-0.1472991,0.3244171,1.88679,0.3039797,-0.1028739,2.345243,-0.1064427,-0.9720309,1.941443,0.1788446,-0.893034,1.815679
0.0303319,0.7911234,2.17272,-0.1524723,0.5251592,2.155218,0.150649,0.539474,2.216786,-0.006420291,0.5725369,2.172682,-0.04488032,-0.4931717,2.13692,0.09898699,-0.5031481,2.13604,-0.1820324,0.2601796,2.179502,0.2288971,0.2525971,2.333379,0.006371757,0.3297468,2.156058,-0.1336889,0.3202593,1.885888,0.3117116,-0.0739141,2.348455,-0.1037825,-0.9658182,1.949746,0.177072,-0.8882784,1.811762
0.03695385,0.7912208,2.170803,-0.1424875,0.523221,2.150998,0.1513162,0.5370657,2.216744,0.000226571,0.5727979,2.171469,-0.04438816,-0.4935911,2.135912,0.1040658,-0.5026339,2.134805,-0.1801922,0.2567553,2.184595,0.2322101,0.2851993,2.391129,0.01415669,0.3293002,2.155653,-0.123189,0.3141974,1.884323,0.3140965,-0.08996351,2.344931,-0.1019818,-0.9666864,1.943545,0.1765482,-0.8866577,1.809054
0.04600701,0.7923913,2.165761,-0.131872,0.5221985,2.150591,0.170069,0.5452818,2.21771,0.01389198,0.5725491,2.167722,-0.04193883,-0.4938842,2.134618,0.1142411,-0.4992123,2.131755,-0.176552,0.2822022,2.163434,0.2421489,0.2861078,2.388607,0.02867735,0.3292772,2.15404,-0.1114906,0.3039606,1.890463,0.324293,-0.08878987,2.340404,-0.111554,-0.9698682,1.910794,0.1699109,-0.905852,1.835433
0.05108905,0.7928457,2.162304,-0.121133,0.5234936,2.15406,0.1997361,0.5197648,2.179303,0.02589447,0.5717756,2.164813,-0.08578484,-0.4064293,1.984963,0.1220333,-0.5010265,2.132706,-0.1630884,0.2726385,2.190309,0.2819791,0.3302944,2.28792,0.04354747,0.3278923,2.150831,-0.1130966,0.2964378,1.906511,0.1727991,0.4319454,2.061672,-0.1365634,-0.8827526,1.813886,0.166793,-0.8969325,1.825655
0.05330234,0.7929796,2.159176,-0.1164024,0.523486,2.155293,0.2005813,0.5193175,2.17789,0.02974625,0.5707853,2.163862,-0.08570254,-0.405688,1.985175,0.1389043,-0.4902512,2.12745,-0.1609334,0.2828329,2.199789,0.2828259,0.3278764,2.281206,0.04762025,0.3270064,2.149533,-0.1180254,0.2947361,1.909197,0.1900191,0.419466,2.057086,-0.1372662,-0.8819453,1.814129,0.1692277,-0.8923537,1.81816
0.0535849,0.7926031,2.157774,-0.1129159,0.5229179,2.15717,0.2010932,0.517994,2.17369,0.03285273,0.569313,2.163177,-0.08490791,-0.4049931,1.985418,0.1391153,-0.4905225,2.127196,-0.1566405,0.279191,2.202825,0.284212,0.3258458,2.273061,0.05053967,0.3259754,2.148481,-0.1249543,0.2910506,1.912579,0.1861772,0.4014407,2.047317,-0.1382983,-0.8805363,1.811889,0.1745587,-0.8889837,1.814367
0.05329789,0.7922611,2.157029,-0.1116157,0.5223848,2.159058,0.2023711,0.5328553,2.180164,0.03443088,0.5686271,2.163458,-0.08401535,-0.4027661,1.985555,0.1398267,-0.4934105,2.126532,-0.1390706,0.2569325,2.199678,0.2836117,0.3150644,2.223642,0.05263939,0.3260244,2.14824,-0.1300396,0.2867298,1.915485,0.1783012,0.3871528,2.031381,-0.1374147,-0.8783987,1.812463,0.1766792,-0.8879653,1.812149
0.05090328,0.7905911,2.154958,-0.1104735,0.5214036,2.161008,0.2028678,0.5327572,2.181533,0.03512176,0.5675771,2.163346,-0.08310425,-0.4014428,1.985078,0.1414178,-0.4926346,2.125316,-0.1386207,0.2542398,2.201395,0.282128,0.3140544,2.221405,0.05369963,0.3256626,2.147767,-0.1361427,0.2838615,1.918173,0.1704181,0.3350697,2.012429,-0.1121317,-0.9570895,1.884362,0.1781757,-0.885692,1.80934
0.04892156,0.7896731,2.154385,-0.1105499,0.5202231,2.163559,0.2041597,0.5325595,2.183055,0.03550247,0.5665294,2.163025,-0.08242772,-0.4004395,1.984576,0.141487,-0.4928046,2.125398,-0.1358265,0.2515081,2.207928,0.2812237,0.3125924,2.218381,0.0543359,0.3253281,2.147415,-0.1414484,0.2826405,1.921099,0.1724238,0.3315911,2.007072,-0.1299278,-0.8724765,1.794122,0.1794233,-0.885259,1.808614
0.04406448,0.7885913,2.153701,-0.1106288,0.5201679,2.163808,0.204295,0.5324604,2.183079,0.03551972,0.5657144,2.162803,-0.09869145,-0.4719155,1.983848,0.1406522,-0.4936937,2.125885,-0.1349939,0.2511215,2.208276,0.2811752,0.3127403,2.216873,0.05455586,0.3251128,2.147238,-0.1494774,0.2856466,1.925744,0.1686364,0.3317447,2.001322,-0.1171735,-0.9326413,1.86284,0.179089,-0.8812309,1.805083
0.03770419,0.7879267,2.153166,-0.1115147,0.5203494,2.165295,0.2040568,0.532705,2.182938,0.03459001,0.5651106,2.162829,-0.09905016,-0.4722369,1.983543,0.1441572,-0.4913037,2.1191,-0.1322532,0.2734652,2.213607,0.2799831,0.3126732,2.213057,0.05449065,0.3250584,2.147202,-0.1554816,0.2888385,1.931445,0.1623425,0.3429249,1.997977,-0.1077499,-0.9631643,1.886797,0.1767081,-0.8842727,1.809068
0.01937869,0.7911239,2.153669,-0.1141925,0.5215458,2.168683,0.2005153,0.5316643,2.179717,0.02858902,0.5643814,2.16272,-0.1003122,-0.4708971,1.983614,0.141192,-0.4930866,2.11949,-0.138508,0.2739029,2.228301,0.2734201,0.3112003,2.208908,0.05131985,0.3250167,2.146517,-0.1898791,0.3002501,1.942754,0.1488716,0.3812836,2.006239,-0.1084144,-0.964211,1.894464,0.174295,-0.8854142,1.811153
0.0003168053,0.7924137,2.155042,-0.1497083,0.5251692,2.206913,0.1813319,0.5397484,2.171745,0.01649797,0.5636624,2.162524,-0.1082443,-0.4676269,1.982919,0.1342281,-0.4940328,2.119899,-0.1508027,0.2817602,2.238475,0.2542883,0.3174074,2.187021,0.0376982,0.3263706,2.145082,-0.2074287,0.2975677,1.953194,0.1449121,0.3801537,2.001403,-0.1500403,-0.8822097,1.826003,0.1741727,-0.8839405,1.808818
-0.008121639,0.7922223,2.156193,-0.1519341,0.5254874,2.20775,0.1750605,0.5409016,2.169545,0.004582713,0.5638856,2.16389,-0.1145721,-0.4305315,1.980566,0.1262073,-0.496404,2.120967,-0.1467118,0.2606387,2.229326,0.245656,0.317796,2.180887,0.0252407,0.3272458,2.14467,-0.2197637,0.2959713,1.955728,0.1118507,0.3749327,1.991051,-0.1519582,-0.8783714,1.818663,0.1716004,-0.8850855,1.807768
-0.01907259,0.7936018,2.158783,-0.1543784,0.5261453,2.206104,0.1758862,0.538263,2.170502,-0.002935676,0.5639216,2.163594,-0.1191238,-0.4689042,1.993992,0.1155635,-0.4981947,2.126505,-0.1801405,0.2582921,2.213014,0.243227,0.3149896,2.183369,0.01559833,0.327367,2.143152,-0.2323909,0.2970828,1.957593,0.09694053,0.365383,1.983423,-0.1535829,-0.8658946,1.805738,0.1813173,-0.8845609,1.796147
-0.02719707,0.7944296,2.160354,-0.1579413,0.5254878,2.208299,0.1754632,0.5355427,2.170992,-0.01035606,0.5638974,2.164527,-0.1221203,-0.4689129,1.988797,0.1124419,-0.4985441,2.126491,-0.1795536,0.2708838,2.192008,0.239952,0.3167567,2.206734,0.005971837,0.3272678,2.142291,-0.2427549,0.3016481,1.960232,0.08586647,0.3568266,1.979465,-0.1544151,-0.8650776,1.804877,0.1785731,-0.8827601,1.795825
-0.03642017,0.7956083,2.160925,-0.1818084,0.5248649,2.214048,0.1522032,0.5354561,2.168788,-0.0187035,0.5637875,2.164312,-0.1240533,-0.4683115,1.986652,0.1694481,-0.4531139,1.985786,-0.1888299,0.2585674,2.217609,0.2426249,0.3230859,2.260857,-0.00273234,0.3274342,2.140862,-0.2533917,0.3106371,1.962385,0.07644111,0.3688656,1.986956,-0.1337155,-0.8943811,1.843812,0.1758832,-0.8812969,1.795267
-0.04379889,0.7963974,2.162335,-0.187703,0.5259711,2.214239,0.1404095,0.5344663,2.164385,-0.02651508,0.5638412,2.164,-0.1293757,-0.4632727,1.983205,0.08864484,-0.4893595,2.128476,-0.221638,0.2986836,2.267786,0.2177199,0.3136816,2.228922,-0.01258604,0.3274026,2.139129,-0.2606428,0.3204134,1.966286,0.06645614,0.3885947,1.990941,-0.1019443,-0.9835912,1.93271,0.1737851,-0.8805097,1.795846
-0.05249623,0.7970166,2.164509,-0.1955365,0.5266123,2.213613,0.1240458,0.5287845,2.158238,-0.03509271,0.5638036,2.164366,-0.1322659,-0.4649747,1.982855,0.1522904,-0.4503589,1.987791,-0.2163778,0.2611724,2.219001,0.2134766,0.323089,2.240036,-0.02240806,0.3270941,2.138017,-0.2688617,0.3275568,1.968546,0.05685467,0.3913689,2.002136,-0.1627149,-0.8885646,1.756982,0.173976,-0.8799276,1.795565
